timestamp,datetime,BMSA_PackVoltage,BMSA_PackCurrent,BMSA_PackSOC,BMSA_PackSOH,BMSA_Gateway2PLCState1,BMSA_Gateway2PLCState2,BMSA_PackChargeCurrentLimit,BMSA_PackDischargeCurrentLimit,BMSA_PackFaultCode,BMSA_InternalState,BMSA_PackAverageTemperature,BMSA_PackMaxTemperature,BMSA_PackMinTemperature,BMSA_SupplementaryState,BMSA_ReportableState,BMSA_PackChargingCurrentTarget,BMSA_PackChargingVoltageTarget,BMSB_PackVoltage,BMSB_PackCurrent,BMSB_PackSOC,BMSB_PackSOH,BMSB_Gateway2PLCState1,BMSB_Gateway2PLCState2,BMSB_PackChargeCurrentLimit,BMSB_PackDischargeCurrentLimit,BMSB_PackFaultCode,BMSB_InternalState,BMSB_PackAverageTemperature,BMSB_PackMaxTemperature,BMSB_PackMinTemperature,BMSB_SupplementaryState,BMSB_ReportableState,BMSB_PackChargingCurrentTarget,BMSB_PackChargingVoltageTarget
1782178205.996188,"=""2026-06-23 08:30:05.996""",,,,,,,,,,,,,,,,,,,2.300,,,0x06,0x00,700.0,700.0,,,,,,,,,
1782178206.008781,"=""2026-06-23 08:30:06.008""",,2.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,,2.300,,,0x06,0x00,700.0,700.0,,,,,,,,,
1782178206.047247,"=""2026-06-23 08:30:06.047""",,2.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,,2.300,,,0x06,0x00,700.0,700.0,,,,,,,,,
1782178206.059982,"=""2026-06-23 08:30:06.059""",,2.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,,2.300,,,0x06,0x00,700.0,700.0,,,,,,,,,
1782178206.098402,"=""2026-06-23 08:30:06.098""",,2.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,,2.300,,,0x06,0x00,700.0,700.0,,,,,,,,,
1782178206.110845,"=""2026-06-23 08:30:06.110""",,2.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,,2.300,,,0x06,0x00,700.0,700.0,,,,,,,,,
1782178206.148886,"=""2026-06-23 08:30:06.148""",,2.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,,2.300,,,0x06,0x00,700.0,700.0,,,,,,,,,
1782178206.162161,"=""2026-06-23 08:30:06.162""",,2.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,,2.300,,,0x06,0x00,700.0,700.0,,,,,,,,,
1782178206.200264,"=""2026-06-23 08:30:06.200""",,2.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,,2.300,,,0x06,0x00,700.0,700.0,,,,,,,,,
1782178206.209159,"=""2026-06-23 08:30:06.209""",,2.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,128.0,2.300,0.580,1.000,0x06,0x00,700.0,700.0,,,27.0,28.0,27.0,,,,
1782178206.212941,"=""2026-06-23 08:30:06.212""",,2.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,128.0,2.300,0.580,1.000,0x06,0x00,700.0,700.0,,,27.0,28.0,27.0,,,,
1782178206.251044,"=""2026-06-23 08:30:06.251""",,2.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,128.0,2.300,0.580,1.000,0x06,0x00,700.0,700.0,,,27.0,28.0,27.0,,,,
1782178206.263867,"=""2026-06-23 08:30:06.263""",,2.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,128.0,2.300,0.580,1.000,0x06,0x00,700.0,700.0,,,27.0,28.0,27.0,,,,
1782178206.303551,"=""2026-06-23 08:30:06.303""",,2.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,128.0,2.300,0.580,1.000,0x06,0x00,700.0,700.0,,,27.0,28.0,27.0,,,,
1782178206.315174,"=""2026-06-23 08:30:06.315""",,2.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,128.0,2.300,0.580,1.000,0x06,0x00,700.0,700.0,,,27.0,28.0,27.0,,,,
1782178206.35337,"=""2026-06-23 08:30:06.353""",,2.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,128.0,2.300,0.580,1.000,0x06,0x00,700.0,700.0,,,27.0,28.0,27.0,,,,
1782178206.36581,"=""2026-06-23 08:30:06.365""",,2.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,128.0,2.300,0.580,1.000,0x06,0x00,700.0,700.0,,,27.0,28.0,27.0,,,,
1782178206.404213,"=""2026-06-23 08:30:06.404""",,2.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,128.0,2.300,0.580,1.000,0x06,0x00,700.0,700.0,,,27.0,28.0,27.0,,,,
1782178206.416867,"=""2026-06-23 08:30:06.416""",,2.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,128.0,2.300,0.580,1.000,0x06,0x00,700.0,700.0,,,27.0,28.0,27.0,,,,
