trace_name,runtime_name,status
gSystem.lCANOpenMasterDrive.lTransA.lNodeState,System/CANBusDrive/cTransA/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lNodeState,System/CANBusDrive/cTransB/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lNodeState,System/CANBusDrive/cTransC/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lNodeState,System/CANBusDrive/cTransD/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lNodeState,System/CANBusDrive/cSteerA/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerB.lNodeState,System/CANBusDrive/cSteerB/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lNodeState,System/CANBusDrive/cSteerC/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lNodeState,System/CANBusDrive/cSteerD/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchA.lNodeState,System/CANBusDrive/cWinchA/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchB.lNodeState,System/CANBusDrive/cWinchB/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchC.lNodeState,System/CANBusDrive/cWinchC/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchD.lNodeState,System/CANBusDrive/cWinchD/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchAngleA.lNodeState,System/CANBusDrive/cWinchAngleA/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchAngleB.lNodeState,System/CANBusDrive/cWinchAngleB/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchAngleC.lNodeState,System/CANBusDrive/cWinchAngleC/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchAngleD.lNodeState,System/CANBusDrive/cWinchAngleD/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerAngleA.lNodeState,System/CANBusDrive/cSteerAngleA/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerAngleB.lNodeState,System/CANBusDrive/cSteerAngleB/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerAngleC.lNodeState,System/CANBusDrive/cSteerAngleC/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerAngleD.lNodeState,System/CANBusDrive/cSteerAngleD/NodeState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lNodeState,System/CANBusDrive/cSpreader/NodeState,remapped_abbrev
