trace_name,runtime_name,status
gSystem.lCANOpenMasterDrive.lTransA.lMotorTemperature.lValue,System/CANBusDrive/cTransA/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lMotorTemperature.lValue,System/CANBusDrive/cTransB/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lMotorTemperature.lValue,System/CANBusDrive/cTransC/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lMotorTemperature.lValue,System/CANBusDrive/cTransD/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lControllerTemperature.lValue,System/CANBusDrive/cTransA/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lControllerTemperature.lValue,System/CANBusDrive/cTransB/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lControllerTemperature.lValue,System/CANBusDrive/cTransC/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lControllerTemperature.lValue,System/CANBusDrive/cTransD/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchA.lMotorTemperature.lValue,System/CANBusDrive/cWinchA/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchB.lMotorTemperature.lValue,System/CANBusDrive/cWinchB/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchC.lMotorTemperature.lValue,System/CANBusDrive/cWinchC/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchD.lMotorTemperature.lValue,System/CANBusDrive/cWinchD/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchA.lControllerTemperature.lValue,System/CANBusDrive/cWinchA/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchB.lControllerTemperature.lValue,System/CANBusDrive/cWinchB/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchC.lControllerTemperature.lValue,System/CANBusDrive/cWinchC/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchD.lControllerTemperature.lValue,System/CANBusDrive/cWinchD/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lMotorTemperature.lValue,System/CANBusDrive/cSteerA/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerB.lMotorTemperature.lValue,System/CANBusDrive/cSteerB/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lMotorTemperature.lValue,System/CANBusDrive/cSteerC/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lMotorTemperature.lValue,System/CANBusDrive/cSteerD/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lControllerTemperature.lValue,System/CANBusDrive/cSteerA/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerB.lControllerTemperature.lValue,System/CANBusDrive/cSteerB/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lControllerTemperature.lValue,System/CANBusDrive/cSteerC/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lControllerTemperature.lValue,System/CANBusDrive/cSteerD/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lPumpMotorTemperature.lValue,System/CANBusDrive/cSpreader/PmpMotTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lPumpControllerTemperature.lValue,System/CANBusDrive/cSpreader/PmpCntrlTemp,remapped_abbrev
