trace_name,runtime_name,status
gSystem.lBMS.lCurrent,System/BMSAB/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchA.lProposedThrottle,System/CANBusDrive/cWinchA/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchB.lProposedThrottle,System/CANBusDrive/cWinchB/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchC.lProposedThrottle,System/CANBusDrive/cWinchC/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchD.lProposedThrottle,System/CANBusDrive/cWinchD/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchA.lCurrent.lValue,System/CANBusDrive/cWinchA/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchB.lCurrent.lValue,System/CANBusDrive/cWinchB/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchC.lCurrent.lValue,System/CANBusDrive/cWinchC/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchD.lCurrent.lValue,System/CANBusDrive/cWinchD/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchA.lVelocity.lValue,System/CANBusDrive/cWinchA/Velocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchB.lVelocity.lValue,System/CANBusDrive/cWinchB/Velocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchC.lVelocity.lValue,System/CANBusDrive/cWinchC/Velocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchD.lVelocity.lValue,System/CANBusDrive/cWinchD/Velocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchA.lControllerTemperature.lValue,System/CANBusDrive/cWinchA/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchB.lControllerTemperature.lValue,System/CANBusDrive/cWinchB/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchC.lControllerTemperature.lValue,System/CANBusDrive/cWinchC/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchD.lControllerTemperature.lValue,System/CANBusDrive/cWinchD/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchA.lMotorTemperature.lValue,System/CANBusDrive/cWinchA/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchB.lMotorTemperature.lValue,System/CANBusDrive/cWinchB/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchC.lMotorTemperature.lValue,System/CANBusDrive/cWinchC/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchD.lMotorTemperature.lValue,System/CANBusDrive/cWinchD/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchA.lTorque.lValue,System/CANBusDrive/cWinchA/Torque,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchB.lTorque.lValue,System/CANBusDrive/cWinchB/Torque,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchC.lTorque.lValue,System/CANBusDrive/cWinchC/Torque,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchD.lTorque.lValue,System/CANBusDrive/cWinchD/Torque,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchA.lBatteryCurrent.lValue,System/CANBusDrive/cWinchA/BattCurrent,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchB.lBatteryCurrent.lValue,System/CANBusDrive/cWinchB/BattCurrent,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchC.lBatteryCurrent.lValue,System/CANBusDrive/cWinchC/BattCurrent,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchD.lBatteryCurrent.lValue,System/CANBusDrive/cWinchD/BattCurrent,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchA.lBatteryVoltage.lValue,System/CANBusDrive/cWinchA/BattVoltage,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchB.lBatteryVoltage.lValue,System/CANBusDrive/cWinchB/BattVoltage,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchC.lBatteryVoltage.lValue,System/CANBusDrive/cWinchC/BattVoltage,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchD.lBatteryVoltage.lValue,System/CANBusDrive/cWinchD/BattVoltage,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchA.lBatteryPower.lValue,System/CANBusDrive/cWinchA/BattPower,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchB.lBatteryPower.lValue,System/CANBusDrive/cWinchB/BattPower,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchC.lBatteryPower.lValue,System/CANBusDrive/cWinchC/BattPower,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchD.lBatteryPower.lValue,System/CANBusDrive/cWinchD/BattPower,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchA.lTargetSpeed.lOutput,System/CANBusDrive/cWinchA/TargetSpeed/Output,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchB.lTargetSpeed.lOutput,System/CANBusDrive/cWinchB/TargetSpeed/Output,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchC.lTargetSpeed.lOutput,System/CANBusDrive/cWinchC/TargetSpeed/Output,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchD.lTargetSpeed.lOutput,System/CANBusDrive/cWinchD/TargetSpeed/Output,remapped_abbrev
