trace_name,runtime_name,status
gSystem.lProgrammedMovementControl.lMovement.lCode,System/ProgMovCntrl/Movement/Code,remapped_abbrev
gSystem.lProgrammedMovementControl.lMovement.lProgMovDiagnostic,System/ProgMovCntrl/Movement/ProgMovDiagnostic,remapped_abbrev
gSystem.lProgrammedMovementControl.lRequested,System/ProgMovCntrl/Requested,remapped_abbrev
gSystem.lProgrammedMovementControl.lMovement.lEnabled,System/ProgMovCntrl/Movement/Enabled,remapped_abbrev
gSystem.lProgrammedMovementControl.lMovement.lDiagnostic,System/ProgMovCntrl/Movement/Diagnostic,remapped_abbrev
gSystem.lProgrammedMovementControl.lMovement.lActive,System/ProgMovCntrl/Movement/Active,remapped_abbrev
gSystem.lProgrammedMovementControl.lMovement.lTimeStep,System/ProgMovCntrl/Movement/TimeStep,remapped_abbrev
gSystem.lProgrammedMovementControl.lMovement.lState,System/ProgMovCntrl/Movement/State,remapped_abbrev
gSystem.lProgrammedMovementControl.lMovement.lInput.lValue,System/ProgMovCntrl/Movement/Input,remapped_abbrev
gSystem.lProgrammedMovementControl.lMovement.lMoving,System/ProgMovCntrl/Movement/Moving,remapped_abbrev
gSystem.lProgrammedMovementControl.lMovement.lSuccess,System/ProgMovCntrl/Movement/Success,remapped_abbrev
gSystem.lProgrammedMovementControl.lMovement.lThrottleValue,System/ProgMovCntrl/Movement/ThrottleValue,remapped_abbrev
gSystem.lTravel.lDiagnostic,N/A,confirmed_nonexistent
gSystem.lSteering.lWheelA.lDiagnostic,System/Steer/WheelA/Diagnostic,remapped_abbrev
gSystem.lSteering.lWheelB.lDiagnostic,System/Steer/WheelB/Diagnostic,remapped_abbrev
gSystem.lSteering.lWheelC.lDiagnostic,System/Steer/WheelC/Diagnostic,remapped_abbrev
gSystem.lSteering.lWheelD.lDiagnostic,System/Steer/WheelD/Diagnostic,remapped_abbrev
gSystem.lTravel.lEnableInputSecondary,System/Travel/EnableInputSecondary,phase5_resolved
gSystem.lTravel.lInputSecondary.lValue,System/Travel/InputSecondary,phase5_resolved
gSystem.lSteering.lModeChange,System/Steer/ModeChange,remapped_abbrev
gSystem.lSteering.lAdjustState,System/Steer/AdjustState,remapped_abbrev
gSystem.lSteering.lTargetAngle.lValue,System/Steer/TargetAngle,remapped_abbrev
gSystem.lSteering.lTargetAngleIncrementDerived,System/Steer/TargetAngleIncrementDerived,remapped_abbrev
gSystem.lSteering.lTargetAngleIncrementDerivedPost,System/Steer/TargetAngleIncrementDerivedPost,remapped_abbrev
gSystem.lTravel.lThrottleValue,System/Travel/Throttle,phase5_resolved
gSystem.lSteering.lWheelA.lThrottleValue,System/Steer/WheelA/ThrottleValue,remapped_abbrev
gSystem.lSteering.lWheelB.lThrottleValue,System/Steer/WheelB/ThrottleValue,remapped_abbrev
gSystem.lSteering.lWheelC.lThrottleValue,System/Steer/WheelC/ThrottleValue,remapped_abbrev
gSystem.lSteering.lWheelD.lThrottleValue,System/Steer/WheelD/ThrottleValue,remapped_abbrev
