trace_name,runtime_name,status
gSystem.lSystemState.lState.lValue,System/SystemState/State,exact_match
gSystem.lBMS.lCurrent,System/BMSAB/Current,remapped_abbrev
gSystem.lSecondaryPowerSupply.lCurrentState,System/Secondary/CurrentState,remapped_abbrev
gSystem.lSecondaryPowerSupply.lRequestedState,System/Secondary/RequestedState,remapped_abbrev
gSystem.lSecondaryPowerSupply.lAvailability,System/Secondary/Availability,remapped_abbrev
gSystem.lSecondaryPowerSupply.lControllerSecondaryPowerSupplyA.lNodeState,System/Secondary/ControllerSecondaryPowerSupplyA/NodeState,remapped_abbrev
gSystem.lSecondaryPowerSupply.lControllerSecondaryPowerSupplyB.lNodeState,System/Secondary/ControllerSecondaryPowerSupplyB/NodeState,remapped_abbrev
gSystem.lSecondaryPowerSupply.lControllerSecondaryPowerSupplyA.lCurrent.lValue,System/Secondary/ControllerSecondaryPowerSupplyA/Current,remapped_abbrev
gSystem.lSecondaryPowerSupply.lControllerSecondaryPowerSupplyB.lCurrent.lValue,System/Secondary/ControllerSecondaryPowerSupplyB/Current,remapped_abbrev
gSystem.lSecondaryPowerSupply.lControllerSecondaryPowerSupplyA.lVoltage.lValue,System/Secondary/ControllerSecondaryPowerSupplyA/Voltage,remapped_abbrev
gSystem.lSecondaryPowerSupply.lControllerSecondaryPowerSupplyB.lVoltage.lValue,System/Secondary/ControllerSecondaryPowerSupplyB/Voltage,remapped_abbrev
gSystem.lSecondaryPowerSupply.lControllerSecondaryPowerSupplyA.lTemperature.lValue,System/Secondary/ControllerSecondaryPowerSupplyA/Temperature,remapped_abbrev
gSystem.lSecondaryPowerSupply.lControllerSecondaryPowerSupplyB.lTemperature.lValue,System/Secondary/ControllerSecondaryPowerSupplyB/Temperature,remapped_abbrev
gSystem.lSecondaryPowerSupply.lControllerSecondaryPowerSupplyA.lTargetVoltage.lValue,System/Secondary/ControllerSecondaryPowerSupplyA/TargetVoltage,remapped_abbrev
gSystem.lSecondaryPowerSupply.lControllerSecondaryPowerSupplyB.lTargetVoltage.lValue,System/Secondary/ControllerSecondaryPowerSupplyB/TargetVoltage,remapped_abbrev
gSystem.lSecondaryPowerSupply.lControllerSecondaryPowerSupplyA.lCurrentRunState.lValue,System/Secondary/ControllerSecondaryPowerSupplyA/CurrentRunState,remapped_abbrev
gSystem.lSecondaryPowerSupply.lControllerSecondaryPowerSupplyB.lCurrentRunState.lValue,System/Secondary/ControllerSecondaryPowerSupplyB/CurrentRunState,remapped_abbrev
gSystem.lSecondaryPowerSupply.lControllerSecondaryPowerSupplyA.lRequestedRunState.lValue,System/Secondary/ControllerSecondaryPowerSupplyA/RequestedRunState,remapped_abbrev
gSystem.lSecondaryPowerSupply.lControllerSecondaryPowerSupplyB.lRequestedRunState.lValue,System/Secondary/ControllerSecondaryPowerSupplyB/RequestedRunState,remapped_abbrev
gSystem.lSecondaryPowerSupply.lStartDelayTimer.lExpired,System/Secondary/StartDelayTimer/Expired,remapped_abbrev
gSystem.lSecondaryPowerSupply.lControllerSecondaryPowerSupplyA.lDiagnosticState.lValue,System/Secondary/ControllerSecondaryPowerSupplyA/DiagnosticState,remapped_abbrev
gSystem.lSecondaryPowerSupply.lControllerSecondaryPowerSupplyB.lDiagnosticState.lValue,System/Secondary/ControllerSecondaryPowerSupplyB/DiagnosticState,remapped_abbrev
