trace_name,runtime_name,status
gSystem.lBMS.lCurrent,System/BMSAB/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lCurrent.lValue,System/CANBusDrive/cSteerC/Current,remapped_abbrev
gSystem.lSteering.lInput.lValue,System/Steer/Input,remapped_abbrev
gSystem.lSteering.lTargetAngle.lValue,System/Steer/TargetAngle,remapped_abbrev
gSystem.lSteering.lWheelC.lTargetAngle,System/Steer/WheelC/TargetAngle,remapped_abbrev
gSystem.lSteering.lWheelC.lPreviousTargetAngle,System/Steer/WheelC/PreviousTargetAngle,remapped_abbrev
gSystem.lSteering.lWheelC.lTargetPredictionOffset,System/Steer/WheelC/TargetPredictionOffset,remapped_abbrev
gSystem.lSteering.lWheelC.lPredictedTargetAngle,System/Steer/WheelC/PredictedTargetAngle,remapped_abbrev
gSystem.lSteering.lWheelC.lTargetAngleAdjustment,System/Steer/WheelC/TargetAngleAdjustment,remapped_abbrev
gSystem.lSteering.lWheelC.lTargetAngleAdjusted,System/Steer/WheelC/TargetAngleAdjusted,remapped_abbrev
gSystem.lSteering.lWheelC.lDelta,System/Steer/WheelC/Delta,remapped_abbrev
gSystem.lSteering.lWheelA.lFilteredDelta,System/Steer/WheelA/FilteredDelta,remapped_abbrev
gSystem.lSteering.lWheelC.lDeltaConverging,System/Steer/WheelC/DeltaConverging,remapped_abbrev
gSystem.lSteering.lWheelC.lThrottleValue,System/Steer/WheelC/ThrottleValue,remapped_abbrev
gSystem.lSteering.lWheelC.lRequestedCurve.lInflexions,System/Steer/WheelC/RequestedCurve/Inflexions,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerAngleC.lAngle.lValue,System/CANBusDrive/cSteerAngleC/Angle,remapped_abbrev
gSystem.lSteering.lWheelC.lOvershoot,System/Steer/WheelC/Overshoot,remapped_abbrev
gSystem.lSteering.lWheelC.lOvershootTimer.lExpired,System/Steer/WheelC/OvershootTimer/Expired,remapped_abbrev
gSystem.lSteering.lWheelC.lCurrentVelocity,System/Steer/WheelC/CurrentVelocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lTargetSpeed.lValue,System/CANBusDrive/cSteerC/TargetSpeed,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lTargetVelocity,System/CANBusDrive/cSteerC/TargetVelocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lVelocity.lValue,System/CANBusDrive/cSteerC/Velocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lTorque.lValue,System/CANBusDrive/cSteerC/Torque,remapped_abbrev
gSystem.lSteering.lWheelC.lState,System/Steer/WheelC/State,remapped_abbrev
gSystem.lSteering.lWheelC.lDiagnostic,System/Steer/WheelC/Diagnostic,remapped_abbrev
gSystem.lSteering.lWheelC.lThrottle.lStationary,System/Steer/WheelC/Throttle/Stationary,remapped_abbrev
gSystem.lSteering.lWheelC.lModeChange,System/Steer/WheelC/ModeChange,remapped_abbrev
gSystem.lSteering.lWheelC.lModeChangeDisableControl,System/Steer/WheelC/ModeChangeDisableControl,remapped_abbrev
gSystem.lSteering.lMode.lMode,System/Steer/Mode/Mode,remapped_abbrev
gSystem.lSteering.lModeChange,System/Steer/ModeChange,remapped_abbrev
gSystem.lSteering.lAdjustState,System/Steer/AdjustState,remapped_abbrev
gSystem.lSteering.lWheelC.lDelta,System/Steer/WheelC/Delta,remapped_abbrev
gSystem.lSteering.lWheelC.lInput.lValue,System/Steer/WheelC/Input,remapped_abbrev
gSystem.lSteering.lWheelC.lMoving,System/Steer/WheelC/Moving,remapped_abbrev
gSystem.lSteering.lWheelC.lRequested,System/Steer/WheelC/Requested,remapped_abbrev
gSystem.lSteering.lWheelC.lRequestedCurve.lValue,System/Steer/WheelC/RequestedCurve,remapped_abbrev
gSystem.lSteering.lWheelC.lRequestedCurve.lPrevious,System/Steer/WheelC/RequestedCurve/Previous,remapped_abbrev
gSystem.lSteering.lWheelC.lRequestedCurve.lDelta,System/Steer/WheelC/RequestedCurve/Delta,remapped_abbrev
gSystem.lSteering.lWheelC.lRequestedCurve.lDeltaPrevious,System/Steer/WheelC/RequestedCurve/DeltaPrevious,remapped_abbrev
gSystem.lSteering.lWheelC.lRequestedCurve.lNonZero,System/Steer/WheelC/RequestedCurve/NonZero,remapped_abbrev
gSystem.lSteering.lWheelC.lRequestedCurve.lNonZeroPrevious,System/Steer/WheelC/RequestedCurve/NonZeroPrevious,remapped_abbrev
gSystem.lSteering.lWheelC.lMovementEventCount,System/Steer/WheelC/MovementEventCount,remapped_abbrev
gSystem.lSteering.lWheelC.lThrottle.lStalled,System/Steer/WheelC/Throttle/Stalled,remapped_abbrev
gSystem.lSteering.lWheelC.lThrottle.lCurrentVelocity,System/Steer/WheelC/Throttle/CurrentVelocity,remapped_abbrev
gSystem.lSteering.lWheelC.lThrottle.lValue,System/Steer/WheelC/Throttle,remapped_abbrev
gSystem.lSteering.lWheelC.lThrottle.lStationary,System/Steer/WheelC/Throttle/Stationary,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lControllerTemperature.lValue,System/CANBusDrive/cSteerC/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lMotorTemperature.lValue,System/CANBusDrive/cSteerC/MotorTemp,remapped_abbrev
