trace_name,runtime_name,status
gSystem.lSteering.lInput.lValue,System/Steer/Input,remapped_abbrev
gSystem.lSteering.lTargetAngle.lValue,System/Steer/TargetAngle,remapped_abbrev
gSystem.lSteering.lWheelD.lFilteredDelta,System/Steer/WheelD/FilteredDelta,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerAngleD.lAngle.lValue,System/CANBusDrive/cSteerAngleD/Angle,remapped_abbrev
gSystem.lSteering.lWheelD.lDiagnostic,System/Steer/WheelD/Diagnostic,remapped_abbrev
gSystem.lSteering.lSteerModeDiagnostic,System/Steer/SteerModeDiagnostic,remapped_abbrev
gSystem.lSteering.lWheelD.lState,System/Steer/WheelD/State,remapped_abbrev
gSystem.lSteering.lAdjustState,System/Steer/AdjustState,remapped_abbrev
gSystem.lSteering.lWheelD.lDelta,System/Steer/WheelD/Delta,remapped_abbrev
gSystem.lSteering.lWheelD.lInput.lValue,System/Steer/WheelD/Input,remapped_abbrev
gSystem.lSteering.lWheelD.lMoving,System/Steer/WheelD/Moving,remapped_abbrev
gSystem.lSteering.lWheelD.lMovementCount,System/Steer/WheelD/MovementCount,remapped_abbrev
gSystem.lSteering.lWheelD.lMovementEventCount,System/Steer/WheelD/MovementEventCount,remapped_abbrev
gSystem.lSteering.lWheelD.lThrottleValue,System/Steer/WheelD/ThrottleValue,remapped_abbrev
gSystem.lSteering.lWheelD.lThrottle.lStalled,System/Steer/WheelD/Throttle/Stalled,remapped_abbrev
gSystem.lSteering.lWheelD.lThrottle.lStationary,System/Steer/WheelD/Throttle/Stationary,remapped_abbrev
gSystem.lSteering.lWheelD.lThrottle.lCurrentVelocity,System/Steer/WheelD/Throttle/CurrentVelocity,remapped_abbrev
gSystem.lSteering.lWheelD.lThrottle.lValue,System/Steer/WheelD/Throttle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lDiagnostic,System/CANBusDrive/cSteerD/Diagnostic,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lStalled,System/CANBusDrive/cSteerD/Stalled,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lControllerTemperature.lValue,System/CANBusDrive/cSteerD/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lMotorTemperature.lValue,System/CANBusDrive/cSteerD/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lMeasuredThrottle,System/CANBusDrive/cSteerD/MeasuredThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lProposedThrottle,System/CANBusDrive/cSteerD/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lZeroCurrentVelocityIndicator,System/CANBusDrive/cSteerD/ZeroCurrentVelocityIndicator,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lZeroTargetSpeedIndicator,System/CANBusDrive/cSteerD/ZeroTargetSpeedIndicator,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lStalledCount,System/CANBusDrive/cSteerD/StalledCount,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lStalledIndicator,System/CANBusDrive/cSteerD/StalledIndicator,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lStallIndicator,System/CANBusDrive/cSteerD/StallIndicator,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lStallInput,System/CANBusDrive/cSteerD/StallInput,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lStallState,System/CANBusDrive/cSteerD/StallState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lStallTimer.lExpired,System/CANBusDrive/cSteerD/StallTimer/Expired,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lStationary,System/CANBusDrive/cSteerD/Stationary,remapped_abbrev
