trace_name,runtime_name,status
gSystem.lBMS.lCurrent,System/BMSAB/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lProposedThrottle,System/CANBusDrive/cSteerA/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerB.lProposedThrottle,System/CANBusDrive/cSteerB/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lProposedThrottle,System/CANBusDrive/cSteerC/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lProposedThrottle,System/CANBusDrive/cSteerD/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lCurrent.lValue,System/CANBusDrive/cSteerA/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerB.lCurrent.lValue,System/CANBusDrive/cSteerB/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lCurrent.lValue,System/CANBusDrive/cSteerC/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lCurrent.lValue,System/CANBusDrive/cSteerD/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lVelocity.lValue,System/CANBusDrive/cSteerA/Velocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerB.lVelocity.lValue,System/CANBusDrive/cSteerB/Velocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lVelocity.lValue,System/CANBusDrive/cSteerC/Velocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lVelocity.lValue,System/CANBusDrive/cSteerD/Velocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lControllerTemperature.lValue,System/CANBusDrive/cSteerA/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerB.lControllerTemperature.lValue,System/CANBusDrive/cSteerB/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lControllerTemperature.lValue,System/CANBusDrive/cSteerC/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lControllerTemperature.lValue,System/CANBusDrive/cSteerD/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lMotorTemperature.lValue,System/CANBusDrive/cSteerA/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerB.lMotorTemperature.lValue,System/CANBusDrive/cSteerB/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lMotorTemperature.lValue,System/CANBusDrive/cSteerC/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lMotorTemperature.lValue,System/CANBusDrive/cSteerD/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lTorque.lValue,System/CANBusDrive/cSteerA/Torque,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerB.lTorque.lValue,System/CANBusDrive/cSteerB/Torque,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lTorque.lValue,System/CANBusDrive/cSteerC/Torque,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lTorque.lValue,System/CANBusDrive/cSteerD/Torque,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lBatteryCurrent.lValue,System/CANBusDrive/cSteerA/BattCurrent,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerB.lBatteryCurrent.lValue,System/CANBusDrive/cSteerB/BattCurrent,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lBatteryCurrent.lValue,System/CANBusDrive/cSteerC/BattCurrent,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lBatteryCurrent.lValue,System/CANBusDrive/cSteerD/BattCurrent,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lBatteryVoltage.lValue,System/CANBusDrive/cSteerA/BattVoltage,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerB.lBatteryVoltage.lValue,System/CANBusDrive/cSteerB/BattVoltage,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lBatteryVoltage.lValue,System/CANBusDrive/cSteerC/BattVoltage,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lBatteryVoltage.lValue,System/CANBusDrive/cSteerD/BattVoltage,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lBatteryPower.lValue,System/CANBusDrive/cSteerA/BattPower,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerB.lBatteryPower.lValue,System/CANBusDrive/cSteerB/BattPower,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lBatteryPower.lValue,System/CANBusDrive/cSteerC/BattPower,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lBatteryPower.lValue,System/CANBusDrive/cSteerD/BattPower,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lTargetSpeed.lOutput,System/CANBusDrive/cSteerA/TargetSpeed/Output,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerB.lTargetSpeed.lOutput,System/CANBusDrive/cSteerB/TargetSpeed/Output,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lTargetSpeed.lOutput,System/CANBusDrive/cSteerC/TargetSpeed/Output,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lTargetSpeed.lOutput,System/CANBusDrive/cSteerD/TargetSpeed/Output,remapped_abbrev
