trace_name,runtime_name,status
gSystem.lTravel.lInput.lValue,System/Travel/Input,phase5_resolved
gSystem.lTravel.lInputResolved,System/Travel/InputResolved,phase5_resolved
gSystem.lTravel.lInputProcessed,N/A,nonexistent
gSystem.lCANOpenMasterDrive.lSpreader.lBrakeDisengageCommand.lValue,System/CANBusDrive/cSpreader/BrakeDisengage,remapped_abbrev
gSystem.lTravel.lSteerAdjustTimer.lExpired,N/A,nonexistent
gSystem.lSteering.lAdjustState,System/Steer/AdjustState,remapped_abbrev
gSystem.lSteering.lTargetAngle.lValue,System/Steer/TargetAngle,remapped_abbrev
gSystem.lTravel.lScalingA,N/A,nonexistent
gSystem.lTravel.lScalingB,N/A,nonexistent
gSystem.lTravel.lScalingC,N/A,nonexistent
gSystem.lTravel.lScalingD,N/A,nonexistent
gSystem.lCANOpenMasterDrive.lTransA.lProposedThrottle,System/CANBusDrive/cTransA/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lProposedThrottle,System/CANBusDrive/cTransB/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lProposedThrottle,System/CANBusDrive/cTransC/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lProposedThrottle,System/CANBusDrive/cTransD/ProposedThrottle,remapped_abbrev
gSystem.lTravel.lMovementA.lDiagnostic,N/A,nonexistent
gSystem.lTravel.lMovementB.lDiagnostic,N/A,nonexistent
gSystem.lTravel.lMovementC.lDiagnostic,N/A,nonexistent
gSystem.lTravel.lMovementD.lDiagnostic,N/A,confirmed_nonexistent
gSystem.lTravel.lDiagnostic,N/A,confirmed_nonexistent
gSystem.lCANOpenMasterDrive.lTransA.lVelocity.lValue,System/CANBusDrive/cTransA/Velocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lVelocity.lValue,System/CANBusDrive/cTransB/Velocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lVelocity.lValue,System/CANBusDrive/cTransC/Velocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lVelocity.lValue,System/CANBusDrive/cTransD/Velocity,remapped_abbrev
gSystem.lTravel.lInputScaling,System/Travel/InputScaling,phase5_resolved
gSystem.lTravel.lCurrentFunctionSlowFactor,N/A,nonexistent
gSystem.lTravel.lCurrentOperatingModeSlowFactor,N/A,nonexistent
gSystem.lTravel.lCurrentUInterfaceSlowFactor,N/A,nonexistent
gSystem.lCANOpenMasterDrive.lTransA.lFreeWheel,System/CANBusDrive/cTransA/FreeWheel,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lFreeWheel,System/CANBusDrive/cTransB/FreeWheel,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lFreeWheel,System/CANBusDrive/cTransC/FreeWheel,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lFreeWheel,System/CANBusDrive/cTransD/FreeWheel,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lEnable.lValue,System/CANBusDrive/cTransA/Enable,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lEnable.lValue,System/CANBusDrive/cTransB/Enable,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lEnable.lValue,System/CANBusDrive/cTransC/Enable,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lEnable.lValue,System/CANBusDrive/cTransD/Enable,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lForward.lValue,System/CANBusDrive/cTransA/Forward,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lReverse.lValue,System/CANBusDrive/cTransA/Reverse,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lInitializeMotorHoldCounter,System/CANBusDrive/cTransA/InitializeMotorHoldCounter,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lInitializeMotorHoldCounter,System/CANBusDrive/cTransB/InitializeMotorHoldCounter,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lTargetVelocity,System/CANBusDrive/cTransA/TargetVelocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lTargetSpeed.lValue,System/CANBusDrive/cTransA/TargetSpeed,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lCurrent.lValue,System/CANBusDrive/cTransA/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lCurrent.lValue,System/CANBusDrive/cTransB/Current,remapped_abbrev
