timestamp,arbitration_id,extended,remote,error,dlc,data
1779864331.795762,0x4e8,0,0,0,8,AACCAAAAfgA=
1779864331.797105,0x763,0,0,0,1,BQ==
1779864331.7987037,0x3e0,0,0,0,8,AAAAAAAAE8A=
1779864331.7988446,0x76f,0,0,0,1,BQ==
1779864331.8013203,0x4e5,0,0,0,8,AP8AAAAAAAA=
1779864331.801406,0x772,0,0,0,1,BQ==
1779864331.8015654,0x75b,0,0,0,1,BQ==
1779864331.8018212,0x1e4,0,0,0,8,AAAAAAAAAAA=
1779864331.8027582,0x4e0,0,0,0,8,AACCAAAAfgA=
1779864331.802854,0x75f,0,0,0,1,BQ==
1779864331.803475,0x74e,0,0,0,1,BQ==
1779864331.8037112,0x1e8,0,0,0,8,AAAAAAAAAAA=
1779864331.8046381,0x767,0,0,0,1,BQ==
1779864331.804966,0x76a,0,0,0,1,BQ==
1779864331.8055534,0x74a,0,0,0,1,BQ==
1779864331.805794,0x3e4,0,0,0,8,AAAAAAAAE8A=
1779864331.8065445,0x75e,0,0,0,1,BQ==
1779864331.807099,0x4e1,0,0,0,8,AAAAAAAA//8=
1779864331.8076417,0x3e8,0,0,0,8,AAAAAAAAE8A=
1779864331.8086305,0x756,0,0,0,1,BQ==
1779864331.8088691,0x4e9,0,0,0,8,AAAAAAAA//8=
1779864331.8095186,0x76e,0,0,0,1,BQ==
1779864331.8097904,0x4e4,0,0,0,8,AACCAAAAfgA=
1779864331.8103154,0x752,0,0,0,1,BQ==
1779864331.8107367,0x1e0,0,0,0,8,AAAAAAAAAAA=
1779864331.811694,0x4e8,0,0,0,8,AACCAAAAfgA=
1779864331.8136184,0x762,0,0,0,1,BQ==
1779864331.8146763,0x3e0,0,0,0,8,AAAAAAAAA8A=
1779864331.8154967,0x766,0,0,0,1,BQ==
1779864331.8157194,0x75a,0,0,0,1,BQ==
1779864331.8160179,0x80,0,0,0,0,
1779864331.8162436,0x208,0,0,0,6,WgAAAICA
1779864331.8164465,0x28a,0,0,0,6,Kf0DAAAA
1779864331.8165615,0x701,0,0,0,1,BQ==
1779864331.8168077,0x1d6,0,0,0,8,BgAAgQACAQA=
1779864331.8170571,0x1ea,0,0,0,8,AAAA4AAAAAA=
1779864331.8173776,0x4e5,0,0,0,8,AP8AAAAAAAA=
1779864331.8175557,0x1f2,0,0,0,8,AAAAYAAAAAA=
1779864331.8178585,0x1ca,0,0,0,8,AAAAAQACAQA=
1779864331.818037,0x1e2,0,0,0,8,AAAAAQACAQA=
1779864331.8182821,0x1ee,0,0,0,8,AAAA4AAAAAA=
1779864331.8185349,0x1d2,0,0,0,8,AAAAgQACAQA=
1779864331.8187783,0x1de,0,0,0,8,AAAAgQACAQA=
1779864331.8190112,0x2ca,0,0,0,8,AABVKWMAKgQ=
1779864331.8192675,0x1f6,0,0,0,8,AAAAYAAAAAA=
1779864331.8195028,0x2e2,0,0,0,8,AABPJWMAKwQ=
1779864331.819747,0x1ce,0,0,0,8,AAAAgQACAQA=
1779864331.820015,0x1da,0,0,0,8,AAAAgQABAQA=
1779864331.8202477,0x1e4,0,0,0,8,AAAAAAAAAAA=
1779864331.8204808,0x1e6,0,0,0,8,AAAAAQACAQA=
1779864331.8207152,0x2e6,0,0,0,8,AABOJ2MAKwQ=
1779864331.8209763,0x1e8,0,0,0,8,AAAAAAAAAAA=
1779864331.8212235,0x4e0,0,0,0,8,AACCAAAAfgA=
1779864331.82142,0x28b,0,0,0,6,yQIEAAAA
1779864331.8216262,0x28c,0,0,0,6,8PwDAAAA
1779864331.8218772,0x3e4,0,0,0,8,AAAAAAAAA8A=
1779864331.822096,0x28d,0,0,0,6,7QIEAAAA
1779864331.822299,0x28e,0,0,0,6,8v8DAAAA
1779864331.8225017,0x28f,0,0,0,6,/v8DAAAA
1779864331.8227088,0x290,0,0,0,6,EgAEAAAA
1779864331.822963,0x291,0,0,0,6,/v8DAAAA
1779864331.823181,0x4e1,0,0,0,8,AAAAAAAAAAA=
1779864331.8236463,0x3e8,0,0,0,8,AAAAAAAAA8A=
1779864331.8248444,0x4e9,0,0,0,8,AAAAAAAAAAA=
1779864331.826047,0x4e4,0,0,0,8,AACCAAAAfgA=
1779864331.8262522,0x70f,0,0,0,1,BQ==
1779864331.8267536,0x1e0,0,0,0,8,AAAAAAAAAAA=
1779864331.827779,0x4e8,0,0,0,8,AACCAAAAfgA=
1779864331.8297253,0x25a,0,0,0,8,AAACAAAAAAA=
1779864331.8300858,0x25e,0,0,0,8,AAACAAAAAAA=
1779864331.8304684,0x262,0,0,0,8,AAACAAAAAAA=
1779864331.8307295,0x3e0,0,0,0,8,AAAAAAAAE8A=
1779864331.8309913,0x266,0,0,0,8,AAACAAAAAAA=
1779864331.8312042,0x24a,0,0,0,8,AAALAAAAAAA=
1779864331.83156,0x24e,0,0,0,8,AAATAAAAAAA=
1779864331.8319912,0x252,0,0,0,8,AAALAAAAAAA=
1779864331.832283,0x256,0,0,0,8,AAATAAAAAAA=
1779864331.833323,0x4e5,0,0,0,8,AP8AAAAAAAA=
1779864331.8338175,0x1e4,0,0,0,8,AAAAAAAAAAA=
1779864331.8340564,0x26a,0,0,0,8,AAACAAAAAAA=
1779864331.8344326,0x26e,0,0,0,8,AAACAAAAAAA=
1779864331.8347826,0x4e0,0,0,0,8,AACCAAAAfgA=
1779864331.8349962,0x272,0,0,0,8,AAACAAAAAAA=
1779864331.835242,0x276,0,0,0,8,AAACAAAAAAA=
1779864331.8357158,0x1e8,0,0,0,8,AAAAAAAAAAA=
1779864331.837803,0x3e4,0,0,0,8,AAAAAAAAE8A=
1779864331.8391166,0x4e1,0,0,0,8,AAAAAAAA/f8=
1779864331.8396657,0x3e8,0,0,0,8,AAAAAAAAE8A=
1779864331.840862,0x4e9,0,0,0,8,AAAAAAAA//8=
1779864331.8418114,0x4e4,0,0,0,8,AACCAAAAfgA=
1779864331.8427722,0x1e0,0,0,0,8,AAAAAAAAAAA=
1779864331.843726,0x4e8,0,0,0,8,AACCAAAAfgA=
1779864331.8458707,0x777,0,0,0,1,BQ==
1779864331.8466775,0x3e0,0,0,0,8,BgAAAAAAA8A=
1779864331.8490574,0x4e5,0,0,0,8,AAAAAAAA//8=
1779864331.8498244,0x1e4,0,0,0,8,AAAAAAAAAAA=
1779864331.8508222,0x4e0,0,0,0,8,AACCAAAAfgA=
1779864331.8517177,0x1e8,0,0,0,8,AAAAAAAAAAA=
1779864331.853743,0x3e4,0,0,0,8,AAAAAAAAA8A=
1779864331.8544896,0x773,0,0,0,1,BQ==
1779864331.8551269,0x4e1,0,0,0,8,AAAAAAEAAAA=
1779864331.8556418,0x3e8,0,0,0,8,AAAAAAAAA8A=
1779864331.8560488,0x74f,0,0,0,1,BQ==
1779864331.8561645,0x74b,0,0,0,1,BQ==
1779864331.856277,0x757,0,0,0,1,BQ==
