timestamp,PrimaryPLC.System.CANBusDrive/cWinchA/BattCurrent,PrimaryPLC.System.CANBusDrive/cWinchA/BattPower,PrimaryPLC.System.CANBusDrive/cWinchA/BattVoltage,PrimaryPLC.System.CANBusDrive/cWinchA/CntTempCutb/Life,PrimaryPLC.System.CANBusDrive/cWinchA/CntTempCutb/Override,PrimaryPLC.System.CANBusDrive/cWinchA/CntrlTemp,PrimaryPLC.System.CANBusDrive/cWinchA/Current,PrimaryPLC.System.CANBusDrive/cWinchA/MotTempCutb/Life,PrimaryPLC.System.CANBusDrive/cWinchA/MotTempCutb/Override,PrimaryPLC.System.CANBusDrive/cWinchA/MotorTemp,PrimaryPLC.System.CANBusDrive/cWinchA/SlaveMod,PrimaryPLC.System.CANBusDrive/cWinchA/SlaveNotify,PrimaryPLC.System.CANBusDrive/cWinchA/TargetSpeed,PrimaryPLC.System.CANBusDrive/cWinchA/Torque,PrimaryPLC.System.CANBusDrive/cWinchA/Velocity,PrimaryPLC.System.CANBusDrive/cWinchAngleA/Position,PrimaryPLC.System.CANBusDrive/cWinchAngleA/SlaveNotify
2032581,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975919,0
2032590,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975919,0
2032599,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975974,0
2032608,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975919,0
2032617,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975919,0
2032626,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975919,0
2032635,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975937,0
2032635,,,,,,36.0,,,,42.0,,,,,,,
2032644,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975919,0
2032653,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975992,0
2032662,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975955,0
2032671,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975883,0
2032680,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975864,0
2032689,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975955,0
2032698,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975955,0
2032707,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975974,0
2032716,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975919,0
2032716,,,,,,36.0,,,,42.0,,,,,,,
2032725,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975919,0
2032734,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975974,0
2032743,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975937,0
2032752,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975883,0
2032761,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975919,0
2032770,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975901,0
2032779,0.0,0.0,129.12,2,0,,0.0,2,0,,,0,0.0,0.0,0.0,-0.975937,0
