timestamp,PrimaryPLC.System.BMSAB/CurrentMismatch,PrimaryPLC.System.BMSAB/VoltageMismatch,PrimaryPLC.System.CANBusDrive/cWinchA/CntrlTemp,PrimaryPLC.System.CANBusDrive/cWinchA/Current,PrimaryPLC.System.CANBusDrive/cWinchA/MotorTemp,PrimaryPLC.System.CANBusDrive/cWinchA/SlaveMod,PrimaryPLC.System.CANBusDrive/cWinchA/TargetSpeed,PrimaryPLC.System.CANBusDrive/cWinchA/Velocity,PrimaryPLC.System.CANBusDrive/cWinchAngleA/Position,PrimaryPLC.System.CANBusDrive/cWinchAngleA/SlaveMod,PrimaryPLC.System.CANBusDrive/cWinchAngleA/SlaveNotify,PrimaryPLC.System.CANBusSystem/cBMSA/Current,PrimaryPLC.System.CANBusSystem/cBMSA/SOC,PrimaryPLC.System.CANBusSystem/cBMSA/Voltage,PrimaryPLC.System.CANBusSystem/cBMSB/Current,PrimaryPLC.System.CANBusSystem/cBMSB/SOC,PrimaryPLC.System.CANBusSystem/cBMSB/SOH
2280994,10.0,0.5,,0.0,,,0.0,0.0,-0.975883,,0,0.700012,0.78,129.4,1.0,0.76,1.0
2281003,10.0,0.5,,0.0,,,0.0,0.0,-0.975883,,0,0.700012,0.78,129.4,1.0,0.76,1.0
2281012,10.0,0.5,,0.0,,,0.0,0.0,-0.975955,,0,0.700012,0.78,129.4,1.0,0.76,1.0
2281021,10.0,0.5,,0.0,,,0.0,0.0,-0.975937,,0,0.700012,0.78,129.4,1.0,0.76,1.0
2281030,10.0,0.5,,0.0,,,0.0,0.0,-0.975901,,0,0.700012,0.78,129.4,1.0,0.76,1.0
2281039,10.0,0.5,,0.0,,,0.0,0.0,-0.975919,,0,0.700012,0.78,129.4,1.0,0.76,1.0
2281044,,,36.0,,42.0,,,,,,,,,,,,
2281046,10.0,0.5,,0.0,,,0.0,0.0,-0.975901,,0,0.700012,0.78,129.4,1.0,0.76,1.0
2281055,10.0,0.5,,0.0,,,0.0,0.0,-0.975901,,0,0.700012,0.78,129.4,1.0,0.76,1.0
2281064,10.0,0.5,,0.0,,,0.0,0.0,-0.975901,,0,0.700012,0.78,129.4,1.0,0.76,1.0
