timestamp,PrimaryPLC.System.BMSAB/CurrentMismatch,PrimaryPLC.System.BMSAB/VoltageMismatch,PrimaryPLC.System.CANBusDrive/cWinchA/CntrlTemp,PrimaryPLC.System.CANBusDrive/cWinchA/Current,PrimaryPLC.System.CANBusDrive/cWinchA/MotorTemp,PrimaryPLC.System.CANBusDrive/cWinchA/TargetSpeed,PrimaryPLC.System.CANBusDrive/cWinchA/Velocity,PrimaryPLC.System.CANBusDrive/cWinchAngleA/Position,PrimaryPLC.System.CANBusDrive/cWinchAngleA/SlaveNotify,PrimaryPLC.System.CANBusSystem/cBMSA/Current,PrimaryPLC.System.CANBusSystem/cBMSA/SOC,PrimaryPLC.System.CANBusSystem/cBMSA/Voltage,PrimaryPLC.System.CANBusSystem/cBMSB/Current,PrimaryPLC.System.CANBusSystem/cBMSB/SOC,PrimaryPLC.System.CANBusSystem/cBMSB/SOH
2441011,,,,,,,,,,,,,,,
2441013,,,,,,,,,,,,,,,
2441013,,,,,,,,,,,,,,,
2441014,10.0,0.5,,0.0,,0.0,0.0,-0.992106,0,0.900024,0.756,129.3,1.600037,0.736,1.0
2441016,,,,,,,,,,,,,,,
2441016,,,,,,,,,,,,,,,
2441016,,,,,,,,,,,,,,,
2441020,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,0.900024,0.756,129.3,1.600037,0.736,1.0
2441020,,,,,,,,,,,,,,,
2441022,,,,,,,,,,,,,,,
2441023,,,,,,,,,,,,,,,
2441026,10.0,0.5,,0.0,,0.0,0.0333333,-0.992088,0,0.900024,0.756,129.3,1.600037,0.736,1.0
2441028,,,,,,,,,,,,,,,
2441028,,,,,,,,,,,,,,,
2441028,,,,,,,,,,,,,,,
2441028,,,,,,,,,,,,,,,
2441028,,,,,,,,,,,,,,,
2441028,,,,,,,,,,,,,,,
2441029,,,,,,,,,,,,,,,
2441031,10.0,0.5,,0.0,,0.0,0.0,-0.992052,0,0.900024,0.756,129.3,1.600037,0.736,1.0
2441034,,,,,,,,,,,,,,,
2441038,10.0,0.5,,0.0,,0.0,0.0,-0.992052,0,0.900024,0.756,129.3,1.600037,0.736,1.0
2441038,,,,,,,,,,,,,,,
2441038,,,,,,,,,,,,,,,
2441040,,,,,,,,,,,,,,,
2441040,,,,,,,,,,,,,,,
2441040,,,,,,,,,,,,,,,
2441040,,,,,,,,,,,,,,,
2441042,,,,,,,,,,,,,,,
