timestamp,PrimaryPLC.System.TMS/ClntReserv,PrimaryPLC.System.TMS/ClntReservoir,PrimaryPLC.System.TMS/ClntTemp,PrimaryPLC.System.TMS/ClntTempCold,PrimaryPLC.System.TMS/ClntTempHot
2471197,0,1,,0,0
2471204,0,1,,0,0
2471211,0,1,,0,0
2471217,0,1,,0,0
2471222,0,1,,0,0
2471228,0,1,,0,0
2471232,,,19.8052,,
2471232,0,1,,0,0
2471239,0,1,,0,0
2471247,0,1,,0,0
2471254,0,1,,0,0
2471260,0,1,,0,0
2471267,0,1,,0,0
2471273,0,1,,0,0
2471278,0,1,,0,0
2471285,0,1,,0,0
2471291,0,1,,0,0
2471297,0,1,,0,0
2471303,0,1,,0,0
2471307,,,19.4912,,
2471309,0,1,,0,0
2471315,0,1,,0,0
2471321,0,1,,0,0
2471327,0,1,,0,0
