timestamp,PrimaryPLC.System.BMSAB/AvailFactor,PrimaryPLC.System.BMSAB/Availability,PrimaryPLC.System.BMSAB/BMSAvailLmtd,PrimaryPLC.System.BMSAB/BMSSOCMismatch,PrimaryPLC.System.BMSAB/BMSVoltMismatch,PrimaryPLC.System.BMSAB/Current,PrimaryPLC.System.BMSAB/CurrentMismatch,PrimaryPLC.System.BMSAB/CycleOutput,PrimaryPLC.System.BMSAB/DsblConnect,PrimaryPLC.System.BMSAB/DsblVoltMisMgmt,PrimaryPLC.System.BMSAB/EnblBMS,PrimaryPLC.System.BMSAB/EnblRestart,PrimaryPLC.System.BMSAB/EnblSOCRecovery,PrimaryPLC.System.BMSAB/Output,PrimaryPLC.System.BMSAB/RestartCount,PrimaryPLC.System.BMSAB/SOC,PrimaryPLC.System.BMSAB/SOCMismatch,PrimaryPLC.System.BMSAB/SOCRecCurrMin,PrimaryPLC.System.BMSAB/SOCRecTimRst,PrimaryPLC.System.BMSAB/Voltage,PrimaryPLC.System.BMSAB/VoltageMismatch,PrimaryPLC.System.CANBusSystem/cBMSA/Current,PrimaryPLC.System.CANBusSystem/cBMSA/FaultCode,PrimaryPLC.System.CANBusSystem/cBMSA/MaxTemp,PrimaryPLC.System.CANBusSystem/cBMSA/MinTemp,PrimaryPLC.System.CANBusSystem/cBMSA/SOC,PrimaryPLC.System.CANBusSystem/cBMSA/SOH,PrimaryPLC.System.CANBusSystem/cBMSA/SlaveAllowUp,PrimaryPLC.System.CANBusSystem/cBMSA/SlaveNoVldTrnms,PrimaryPLC.System.CANBusSystem/cBMSA/TtlChrgEnergy,PrimaryPLC.System.CANBusSystem/cBMSA/TtlDschrgEnergy,PrimaryPLC.System.CANBusSystem/cBMSA/Voltage,PrimaryPLC.System.CANBusSystem/cBMSB/Current,PrimaryPLC.System.CANBusSystem/cBMSB/MaxTemp,PrimaryPLC.System.CANBusSystem/cBMSB/SOC,PrimaryPLC.System.CANBusSystem/cBMSB/SOH,PrimaryPLC.System.CANBusSystem/cBMSB/SlaveAllowUp,PrimaryPLC.System.CANBusSystem/cBMSB/SlaveNoVldTrnms,PrimaryPLC.System.CANBusSystem/cBMSB/Voltage
244358,0.5,0.5,,,,0.5,10.0,0,0,0,3,1,0,1,2,0.5,0.05,-1.0,0,0.5,0.5,2.5,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,0.0,29.0,0.824,1.0,,,129.5
244361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
244361,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
244363,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244365,0.5,0.5,,,,0.5,10.0,0,0,0,3,1,0,1,2,0.5,0.05,-1.0,0,0.5,0.5,2.5,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,0.0,29.0,0.824,1.0,,,129.5
244374,0.5,0.5,,,,0.5,10.0,0,0,0,3,1,0,1,2,0.5,0.05,-1.0,0,0.5,0.5,2.5,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,0.0,29.0,0.824,1.0,,,129.5
244383,0.5,1.0,,,,1.0,10.0,0,0,0,3,1,0,1,2,1.0,0.05,-1.0,0,1.0,0.5,1.0,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,1.400024,29.0,0.824,1.0,,,129.5
244384,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244392,0.5,1.0,,,,1.0,10.0,0,0,0,3,1,0,1,2,1.0,0.05,-1.0,0,1.0,0.5,1.0,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,1.400024,29.0,0.824,1.0,,,129.5
244401,0.5,1.0,,,,1.0,10.0,0,0,0,3,1,0,1,2,1.0,0.05,-1.0,0,1.0,0.5,1.0,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,1.299988,29.0,0.824,1.0,,,129.5
244403,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
244403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
244403,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244403,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244403,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244408,0.5,0.5,,,,0.5,10.0,0,0,0,3,1,0,1,2,0.5,0.05,-1.0,0,0.5,0.5,0.0,0,29.0,27.0,0.0,1.0,,,0.0,0.0,0.0,1.299988,29.0,0.824,1.0,,,129.5
244417,0.5,0.5,,,,0.5,10.0,0,0,0,3,1,0,1,2,0.5,0.05,-1.0,0,0.5,0.5,0.0,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,2.5,29.0,0.824,1.0,,,129.5
244420,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
244420,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
244422,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244424,0.5,0.5,,,,0.5,10.0,0,0,0,3,1,0,1,2,0.5,0.05,-1.0,0,0.5,0.5,0.0,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,2.400024,29.0,0.824,1.0,,,129.5
244433,0.5,0.5,,,,0.5,10.0,0,0,0,3,1,0,1,2,0.5,0.05,-1.0,0,0.5,0.5,1.299988,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,1.5,29.0,0.824,1.0,,,129.5
244442,0.5,1.0,,,,1.0,10.0,0,0,0,3,1,0,1,2,1.0,0.05,-1.0,0,1.0,0.5,1.100037,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,1.299988,29.0,0.824,1.0,,,129.5
244443,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244451,0.5,1.0,,,,1.0,10.0,0,0,0,3,1,0,1,2,1.0,0.05,-1.0,0,1.0,0.5,1.100037,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,1.299988,29.0,0.824,1.0,,,129.5
244460,0.5,1.0,,,,1.0,10.0,0,0,0,3,1,0,1,2,1.0,0.05,-1.0,0,1.0,0.5,1.200012,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,1.200012,29.0,0.824,1.0,,,129.5
244469,0.5,1.0,,,,1.0,10.0,0,0,0,3,1,0,1,2,1.0,0.05,-1.0,0,1.0,0.5,1.100037,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,1.299988,29.0,0.824,1.0,,,129.5
244478,0.5,1.0,,,,1.0,10.0,0,0,0,3,1,0,1,2,1.0,0.05,-1.0,0,1.0,0.5,1.100037,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,1.299988,29.0,0.824,1.0,,,129.5
244487,0.5,1.0,,,,1.0,10.0,0,0,0,3,1,0,1,2,1.0,0.05,-1.0,0,1.0,0.5,1.100037,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,1.299988,29.0,0.824,1.0,,,129.5
244496,0.5,1.0,,,,1.0,10.0,0,0,0,3,1,0,1,2,1.0,0.05,-1.0,0,1.0,0.5,1.100037,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,1.200012,29.0,0.824,1.0,,,129.5
244505,0.5,1.0,,,,1.0,10.0,0,0,0,3,1,0,1,2,1.0,0.05,-1.0,0,1.0,0.5,1.100037,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,1.299988,29.0,0.824,1.0,,,129.5
244514,0.5,1.0,,,,1.0,10.0,0,0,0,3,1,0,1,2,1.0,0.05,-1.0,0,1.0,0.5,1.100037,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,1.299988,29.0,0.824,1.0,,,129.5
244523,0.5,1.0,,,,1.0,10.0,0,0,0,3,1,0,1,2,1.0,0.05,-1.0,0,1.0,0.5,1.100037,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,1.299988,29.0,0.824,1.0,,,129.5
244532,0.5,1.0,,,,1.0,10.0,0,0,0,3,1,0,1,2,1.0,0.05,-1.0,0,1.0,0.5,1.100037,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,1.299988,29.0,0.824,1.0,,,129.5
244541,0.5,1.0,,,,1.0,10.0,0,0,0,3,1,0,1,2,1.0,0.05,-1.0,0,1.0,0.5,1.100037,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,1.299988,29.0,0.824,1.0,,,129.5
244550,0.5,1.0,,,,1.0,10.0,0,0,0,3,1,0,1,2,1.0,0.05,-1.0,0,1.0,0.5,1.100037,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,1.299988,29.0,0.824,1.0,,,129.5
244559,0.5,1.0,,,,1.0,10.0,0,0,0,3,1,0,1,2,1.0,0.05,-1.0,0,1.0,0.5,1.100037,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,1.299988,29.0,0.824,1.0,,,129.5
244568,0.5,1.0,,,,1.0,10.0,0,0,0,3,1,0,1,2,1.0,0.05,-1.0,0,1.0,0.5,1.100037,0,29.0,27.0,0.836,0.996,,,0.0,0.0,129.5,1.299988,29.0,0.824,1.0,,,129.5
