timestamp,PrimaryPLC.System.TMS/ClntReserv,PrimaryPLC.System.TMS/ClntReservoir,PrimaryPLC.System.TMS/ClntTemp,PrimaryPLC.System.TMS/ClntTempCold,PrimaryPLC.System.TMS/ClntTempHot
257639,0,1,20.653,0,0
257648,0,1,20.6844,0,0
257657,0,1,20.6844,0,0
257666,0,1,20.6844,0,0
257675,0,1,20.6844,0,0
257684,0,1,20.6844,0,0
257693,0,1,20.6844,0,0
257702,0,1,20.7158,0,0
257711,0,1,20.7158,0,0
257720,0,1,20.6844,0,0
257729,0,1,20.81,0,0
257738,0,1,20.7472,0,0
257747,0,1,20.6844,0,0
257756,0,1,20.8728,0,0
257765,0,1,20.9356,0,0
257774,0,1,20.9042,0,0
257783,0,1,20.9356,0,0
257792,0,1,20.9356,0,0
257801,0,1,20.9042,0,0
257810,0,1,20.9042,0,0
257819,0,1,20.9356,0,0
257828,0,1,20.967,0,0
257837,0,1,20.9356,0,0
257846,0,1,20.967,0,0
257855,0,1,20.967,0,0
257864,0,1,20.9356,0,0
257873,0,1,20.967,0,0
257882,0,1,20.9356,0,0
257891,0,1,20.967,0,0
257900,0,1,20.967,0,0
257909,0,1,20.967,0,0
257918,0,1,20.967,0,0
257927,0,1,20.967,0,0
257936,0,1,20.9356,0,0
257945,0,1,20.967,0,0
257954,0,1,20.9984,0,0
257963,0,1,20.9984,0,0
257972,0,1,20.967,0,0
257981,0,1,21.0298,0,0
257990,0,1,21.1868,0,0
257999,0,1,21.0298,0,0
258008,0,1,20.967,0,0
258017,0,1,21.1554,0,0
258026,0,1,21.2496,0,0
258035,0,1,21.2182,0,0
258044,0,1,21.2496,0,0
258053,0,1,21.2496,0,0
258062,0,1,21.2496,0,0
258071,0,1,21.2496,0,0
258080,0,1,21.281,0,0
258089,0,1,21.2496,0,0
258098,0,1,21.2496,0,0
258107,0,1,21.2496,0,0
258116,0,1,21.2496,0,0
258125,0,1,21.281,0,0
258134,0,1,21.281,0,0
258143,0,1,21.281,0,0
258152,0,1,21.2496,0,0
258161,0,1,21.281,0,0
258170,0,1,21.281,0,0
258179,0,1,21.3124,0,0
258188,0,1,21.281,0,0
258197,0,1,21.281,0,0
258206,0,1,21.3752,0,0
258215,0,1,21.281,0,0
258224,0,1,21.4066,0,0
258233,0,1,21.4066,0,0
258242,0,1,21.281,0,0
258251,0,1,21.5008,0,0
258260,0,1,21.4694,0,0
258269,0,1,21.5322,0,0
258278,0,1,21.5322,0,0
258287,0,1,21.5322,0,0
258296,0,1,21.5636,0,0
258305,0,1,21.5322,0,0
258314,0,1,21.5322,0,0
258323,0,1,21.5636,0,0
258332,0,1,21.5008,0,0
258341,0,1,21.5322,0,0
258350,0,1,21.5636,0,0
258359,0,1,21.5322,0,0
258368,0,1,21.5636,0,0
258377,0,1,21.5322,0,0
258386,0,1,21.5636,0,0
258395,0,1,21.595,0,0
258404,0,1,21.5636,0,0
258413,0,1,21.5636,0,0
258422,0,1,21.5636,0,0
258431,0,1,21.5636,0,0
258440,0,1,21.6578,0,0
258449,0,1,21.5636,0,0
258458,0,1,21.5636,0,0
258467,0,1,21.5636,0,0
258476,0,1,21.595,0,0
258485,0,1,21.5322,0,0
258494,0,1,21.5636,0,0
258503,0,1,21.752,0,0
258512,0,1,21.6264,0,0
258521,0,1,21.595,0,0
258530,0,1,21.8462,0,0
258539,0,1,21.7206,0,0
258548,0,1,21.8462,0,0
258557,0,1,21.7834,0,0
258566,0,1,21.7834,0,0
258575,0,1,21.8462,0,0
258584,0,1,21.8462,0,0
258593,0,1,21.8462,0,0
258602,0,1,21.8776,0,0
