timestamp,PrimaryPLC.System.BMSAB/Current,PrimaryPLC.System.BMSAB/SOC,PrimaryPLC.System.CANBusDrive/cTransA/BattCurrent,PrimaryPLC.System.CANBusDrive/cTransA/CntrlTemp,PrimaryPLC.System.CANBusDrive/cTransA/Current,PrimaryPLC.System.CANBusDrive/cTransA/Forward,PrimaryPLC.System.CANBusDrive/cTransA/MotorTemp,PrimaryPLC.System.CANBusDrive/cTransA/Reverse,PrimaryPLC.System.CANBusDrive/cTransA/SlaveMod,PrimaryPLC.System.CANBusDrive/cTransA/TargetSpeed,PrimaryPLC.System.CANBusDrive/cTransA/Velocity,PrimaryPLC.System.CANBusSystem/cBMSA/Current,PrimaryPLC.System.CANBusSystem/cBMSB/Current
484568,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.5,3.799988
484577,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.600037,3.900024
484586,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.700012,3.900024
484595,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.900024,4.200012
484604,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.900024,4.200012
484613,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.900024,4.299988
484622,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.100037,4.299988
484631,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.100037,4.400024
484640,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.100037,4.299988
484649,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.100037,4.400024
484658,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.100037,4.400024
484667,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.100037,4.400024
484676,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.100037,4.400024
484685,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.100037,4.400024
484694,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.200012,4.400024
484703,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.100037,4.5
484712,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.200012,4.400024
484721,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.100037,4.5
484730,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.200012,4.600037
484739,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.299988,4.600037
484748,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.299988,4.5
484757,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.299988,4.600037
484766,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.299988,4.600037
484775,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.299988,4.600037
484784,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.299988,4.600037
484793,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.299988,4.600037
484802,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.299988,4.600037
484811,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.299988,4.600037
484820,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.400024,4.700012
484829,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
484838,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
484847,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
484856,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
484865,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
484874,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
484883,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
484892,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
484901,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
484910,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
484919,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
484928,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
484937,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
484946,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
484955,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
484964,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
484973,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
484982,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
484991,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
485000,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
485009,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.799988
485018,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.400024,4.700012
485027,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.5,4.700012
485036,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.299988,4.700012
485045,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.299988,4.600037
485054,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.299988,4.600037
485063,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.299988,4.600037
485072,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.299988,4.5
485081,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.299988,4.5
485090,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.200012,4.600037
485099,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.299988,4.5
485108,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.100037,4.5
485117,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.100037,4.400024
485126,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.100037,4.5
485135,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.100037,4.400024
485144,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.100037,4.299988
485153,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.100037,4.400024
485162,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.100037,4.299988
485171,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,4.100037,4.299988
485180,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.900024,4.299988
485189,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.900024,4.299988
485198,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.900024,4.200012
485207,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.900024,4.200012
485216,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.900024,4.200012
485225,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.900024,4.200012
485234,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.900024,4.200012
485243,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.799988,4.100037
485252,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.900024,4.100037
485261,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.900024,4.100037
485270,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.700012,4.100037
485279,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.700012,4.0
485288,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.700012,4.0
485297,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.700012,4.0
485306,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.700012,3.900024
485315,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,3.700012,4.0
485324,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,1.200012,1.5
485333,1.0,,0.0,0.0,0.0,0,-40.0,0,,0.0,0.0,1.200012,1.5
