trace_name,runtime_name,status
gSystem.lSystemState.lState.lValue,System/SystemState/State,exact_match
gSystem.lBMS.lRestartCount,System/BMSAB/RestartCount,remapped_abbrev
gSystem.lBMS.lSOCRecoveryTimer.lExpired,System/BMSAB/SOCRecoveryTimer/Expired,remapped_abbrev
gSystem.lCANOpenMasterSystem.lBMSA.lNodeState,System/CANBusSystem/BMSA/NodeState,exact_match
gSystem.lCANOpenMasterSystem.lBMSB.lNodeState,System/CANBusSystem/BMSB/NodeState,exact_match
gSystem.lBMS.lAvailability,System/BMSAB/Availability,remapped_abbrev
gSystem.lBMS.lRequestedState,System/BMSAB/RequestedState,remapped_abbrev
gSystem.lBMS.lCurrentState,System/BMSAB/CurrentState,remapped_abbrev
gSystem.lBMS.lEnableBMS.lValue,System/BMSAB/EnableBMS,remapped_abbrev
gSystem.lBMS.lSwitchingStateTimer.lExpired,System/BMSAB/SwitchingStateTimer/Expired,remapped_abbrev
gSystem.lCANOpenMasterSystem.lBMSA.lCurrentBMSState.lValue,System/CANBusSystem/BMSA/CurrentBMSState,exact_match
gSystem.lCANOpenMasterSystem.lBMSA.lRequestedBMSState.lValue,System/CANBusSystem/BMSA/RequestedBMSState,exact_match
gSystem.lBMS.lTargetStateA,System/BMSAB/TargetStateA,remapped_abbrev
gSystem.lCANOpenMasterSystem.lBMSB.lCurrentBMSState.lValue,System/CANBusSystem/BMSB/CurrentBMSState,exact_match
gSystem.lCANOpenMasterSystem.lBMSB.lRequestedBMSState.lValue,System/CANBusSystem/BMSB/RequestedBMSState,exact_match
gSystem.lBMS.lTargetStateB,System/BMSAB/TargetStateB,remapped_abbrev
gSystem.lBMS.lSOC,System/BMSAB/SOC,remapped_abbrev
gSystem.lBMS.lSOCA,System/BMSAB/SOCA,remapped_abbrev
gSystem.lBMS.lSOCB,System/BMSAB/SOCB,remapped_abbrev
gSystem.lBMS.lSOCInbalance,System/BMSAB/SOCInbalance,remapped_abbrev
gSystem.lBMS.lVoltageA,System/BMSAB/VoltageA,remapped_abbrev
gSystem.lBMS.lVoltageB,System/BMSAB/VoltageB,remapped_abbrev
gSystem.lBMS.lSOCMismatch,System/BMSAB/SOCMismatch,remapped_abbrev
gSystem.lBMS.lVoltageMismatch,System/BMSAB/VoltageMismatch,remapped_abbrev
gSystem.lBMS.lVoltageInbalance,System/BMSAB/VoltageInbalance,remapped_abbrev
gSystem.lBMS.lAlarmBMSSOCMismatch.lActive,System/BMSAB/AlarmBMSSOCMismatch/Active,remapped_abbrev
gSystem.lBMS.lCurrent,System/BMSAB/Current,remapped_abbrev
gSystem.lBMS.lCurrentA,System/BMSAB/CurrentA,remapped_abbrev
gSystem.lBMS.lCurrentB,System/BMSAB/CurrentB,remapped_abbrev
gSystem.lBMS.lCurrentMismatch,System/BMSAB/CurrentMismatch,remapped_abbrev
gSystem.lBMS.lCurrentInbalance,System/BMSAB/CurrentInbalance,remapped_abbrev
gSystem.lCANOpenMasterSystem.lBMSA.lPackFaultCode.lValue,System/CANBusSystem/BMSA/PackFaultCode,exact_match
gSystem.lCANOpenMasterSystem.lBMSB.lPackFaultCode.lValue,System/CANBusSystem/BMSB/PackFaultCode,exact_match
gSystem.lCANOpenMasterSystem.lBMSA.lPackFaultNumber.lValue,System/CANBusSystem/BMSA/PackFaultNumber,exact_match
gSystem.lCANOpenMasterSystem.lBMSB.lPackFaultNumber.lValue,System/CANBusSystem/BMSB/PackFaultNumber,exact_match
gSystem.lBMS.lControllerBMSA.lRequestDisconnect.lValue,System/BMSAB/ControllerBMSA/RequestDisconnect,remapped_abbrev
gSystem.lBMS.lControllerBMSB.lRequestDisconnect.lValue,System/BMSAB/ControllerBMSB/RequestDisconnect,remapped_abbrev
