trace_name,runtime_name,status
gSystem.lSystemState.lState.lValue,System/SystemState/State,exact_match
gSystem.lSystemState.lChargingEnabled,N/A,nonexistent
gSystem.lBMS.lRequestedState,System/BMSAB/RequestedState,remapped_abbrev
gSystem.lBMS.lCurrentState,System/BMSAB/CurrentState,remapped_abbrev
gSystem.lBMS.lTargetStateA,System/BMSAB/TargetStateA,remapped_abbrev
gSystem.lBMS.lTargetStateB,System/BMSAB/TargetStateB,remapped_abbrev
gSystem.lBMS.lRequestedBMSChargeState,System/BMSAB/RequestedBMSChargeState,remapped_abbrev
gSystem.lBMS.lCurrentBMSChargeState,System/BMSAB/CurrentBMSChargeState,remapped_abbrev
gSystem.lBMS.lSOC,System/BMSAB/SOC,remapped_abbrev
gSystem.lBMS.lCurrent,System/BMSAB/Current,remapped_abbrev
gSystem.lCharger.lChargerDiagnostic,System/ChargerABC/ChargerDiagnostic,remapped_abbrev
gSystem.lCharger.lCurrentBMSChargeState,System/ChargerABC/CurrentBMSChargeState,remapped_abbrev
gSystem.lCharger.lRequestedBMSChargeState,System/ChargerABC/RequestedBMSChargeState,remapped_abbrev
gSystem.lCharger.lRequestedOBCState,System/ChargerABC/RequestedOBCState,remapped_abbrev
gSystem.lCharger.lCurrentOBCState,System/ChargerABC/CurrentOBCState,remapped_abbrev
gSystem.lCharger.lChargingCurrentTarget,System/ChargerABC/ChargingCurrentTarget,remapped_abbrev
gSystem.lBMS.lChargingCurrentTarget,System/BMSAB/ChargingCurrentTarget,remapped_abbrev
gSystem.lBMS.lControllerBMSA.lPackChargingCurrentTarget.lValue,System/BMSAB/ControllerBMSA/PackChargingCurrentTarget,remapped_abbrev
gSystem.lBMS.lControllerBMSB.lPackChargingCurrentTarget.lValue,System/BMSAB/ControllerBMSB/PackChargingCurrentTarget,remapped_abbrev
gSystem.lCharger.lChargingVoltageTarget,System/ChargerABC/ChargingVoltageTarget,remapped_abbrev
gSystem.lBMS.lControllerBMSA.lPackChargingVoltageTarget.lValue,System/BMSAB/ControllerBMSA/PackChargingVoltageTarget,remapped_abbrev
gSystem.lBMS.lControllerBMSB.lPackChargingVoltageTarget.lValue,System/BMSAB/ControllerBMSB/PackChargingVoltageTarget,remapped_abbrev
gSystem.lCANOpenMasterSystem.lChargerA.lOBCStatus.lValue,System/CANBusSystem/ChargerA/OBCStatus,exact_match
gSystem.lCANOpenMasterSystem.lChargerA.lOBCStatusDerived,System/CANBusSystem/ChargerA/OBCStatusDerived,exact_match
gSystem.lCANOpenMasterSystem.lChargerA.lRequestedOBCState.lValue,System/CANBusSystem/ChargerA/RequestedOBCState,exact_match
gSystem.lCANOpenMasterSystem.lChargerA.lStatusCC.lValue,System/CANBusSystem/ChargerA/StatusCC,exact_match
gSystem.lCANOpenMasterSystem.lChargerA.lStatusCP.lValue,System/CANBusSystem/ChargerA/StatusCP,exact_match
gSystem.lCANOpenMasterSystem.lChargerA.lStopCharging.lValue,System/CANBusSystem/ChargerA/StopCharging,exact_match
gSystem.lCANOpenMasterSystem.lChargerA.lNodeState,System/CANBusSystem/ChargerA/NodeState,exact_match
