trace_name,runtime_name,status
gSystem.lCANOpenMasterDrive.lSpreader.lHeartbeatCounter._Unique,System/CANBusDrive/cSpreader/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchAngleA.lHeartbeatCounter._Unique,System/CANBusDrive/cWinchAngleA/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchAngleB.lHeartbeatCounter._Unique,System/CANBusDrive/cWinchAngleB/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchAngleC.lHeartbeatCounter._Unique,System/CANBusDrive/cWinchAngleC/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchAngleD.lHeartbeatCounter._Unique,System/CANBusDrive/cWinchAngleD/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerAngleA.lHeartbeatCounter._Unique,System/CANBusDrive/cSteerAngleA/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerAngleB.lHeartbeatCounter._Unique,System/CANBusDrive/cSteerAngleB/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerAngleC.lHeartbeatCounter._Unique,System/CANBusDrive/cSteerAngleC/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerAngleD.lHeartbeatCounter._Unique,System/CANBusDrive/cSteerAngleD/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lHeartbeatCounter._Unique,System/CANBusDrive/cTransA/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lHeartbeatCounter._Unique,System/CANBusDrive/cTransB/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lHeartbeatCounter._Unique,System/CANBusDrive/cTransC/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lHeartbeatCounter._Unique,System/CANBusDrive/cTransD/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchA.lHeartbeatCounter._Unique,System/CANBusDrive/cWinchA/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchB.lHeartbeatCounter._Unique,System/CANBusDrive/cWinchB/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchC.lHeartbeatCounter._Unique,System/CANBusDrive/cWinchC/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchD.lHeartbeatCounter._Unique,System/CANBusDrive/cWinchD/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lHeartbeatCounter._Unique,System/CANBusDrive/cSteerA/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerB.lHeartbeatCounter._Unique,System/CANBusDrive/cSteerB/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerC.lHeartbeatCounter._Unique,System/CANBusDrive/cSteerC/HeartbeatCounter/,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lHeartbeatCounter._Unique,System/CANBusDrive/cSteerD/HeartbeatCounter/,remapped_abbrev
