trace_name,runtime_name,status
gSystem.lLift.lInput.lValue,System/Lift/Input,phase5_resolved
gSystem.lLift.lScalingA,N/A,nonexistent
gSystem.lLift.lScalingB,N/A,nonexistent
gSystem.lLift.lScalingC,N/A,nonexistent
gSystem.lLift.lScalingD,N/A,nonexistent
gSystem.lLift.lDiagnostic,N/A,confirmed_nonexistent
gSystem.lLift.lMovementA.lDiagnostic,N/A,nonexistent
gSystem.lLift.lMovementB.lDiagnostic,N/A,nonexistent
gSystem.lLift.lMovementC.lDiagnostic,N/A,nonexistent
gSystem.lLift.lMovementD.lDiagnostic,N/A,nonexistent
gSystem.lCANOpenMasterDrive.lWinchA.lProposedThrottle,System/CANBusDrive/cWinchA/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchB.lProposedThrottle,System/CANBusDrive/cWinchB/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchC.lProposedThrottle,System/CANBusDrive/cWinchC/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchD.lProposedThrottle,System/CANBusDrive/cWinchD/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchAngleA.lPosition.lValue,System/CANBusDrive/cWinchAngleA/Position,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchAngleB.lPosition.lValue,System/CANBusDrive/cWinchAngleB/Position,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchAngleC.lPosition.lValue,System/CANBusDrive/cWinchAngleC/Position,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchAngleD.lPosition.lValue,System/CANBusDrive/cWinchAngleD/Position,remapped_abbrev
gSystem.lLiftAPositionInterlock.lClient.lInterlockState,N/A,nonexistent
gSystem.lLiftBPositionInterlock.lClient.lInterlockState,N/A,nonexistent
gSystem.lLiftCPositionInterlock.lClient.lInterlockState,N/A,nonexistent
gSystem.lLiftDPositionInterlock.lClient.lInterlockState,N/A,nonexistent
gSystem.lLiftABSynchronousInterlock.lClientA.lInterlockState,N/A,nonexistent
gSystem.lLiftABSynchronousInterlock.lClientB.lInterlockState,N/A,nonexistent
gSystem.lLiftCDSynchronousInterlock.lClientA.lInterlockState,N/A,nonexistent
gSystem.lLiftCDSynchronousInterlock.lClientB.lInterlockState,N/A,nonexistent
gSystem.lLiftSynchronousInterlock.lClientA.lInterlockState,N/A,nonexistent
gSystem.lLiftSynchronousInterlock.lClientB.lInterlockState,N/A,nonexistent
gSystem.lLiftAPositionInterlock.lClient.lThresholdPositive,N/A,nonexistent
gSystem.lLiftAPositionInterlock.lClient.lThresholdNegative,N/A,nonexistent
gSystem.lLiftBPositionInterlock.lClient.lThresholdPositive,N/A,nonexistent
gSystem.lLiftBPositionInterlock.lClient.lThresholdNegative,N/A,nonexistent
gSystem.lLiftCPositionInterlock.lClient.lThresholdPositive,N/A,nonexistent
gSystem.lLiftCPositionInterlock.lClient.lThresholdNegative,N/A,nonexistent
gSystem.lLiftDPositionInterlock.lClient.lThresholdPositive,N/A,nonexistent
gSystem.lLiftDPositionInterlock.lClient.lThresholdNegative,N/A,nonexistent
gSystem.lLiftABSynchronousInterlock.lClientA.lThresholdPositive,N/A,nonexistent
gSystem.lLiftABSynchronousInterlock.lClientA.lThresholdNegative,N/A,nonexistent
gSystem.lLiftABSynchronousInterlock.lClientB.lThresholdPositive,N/A,nonexistent
gSystem.lLiftABSynchronousInterlock.lClientB.lThresholdNegative,N/A,nonexistent
gSystem.lLiftCDSynchronousInterlock.lClientA.lThresholdPositive,N/A,nonexistent
gSystem.lLiftCDSynchronousInterlock.lClientA.lThresholdNegative,N/A,nonexistent
gSystem.lLiftCDSynchronousInterlock.lClientB.lThresholdPositive,N/A,nonexistent
gSystem.lLiftCDSynchronousInterlock.lClientB.lThresholdNegative,N/A,nonexistent
gSystem.lLiftSynchronousInterlock.lClientA.lThresholdPositive,N/A,nonexistent
gSystem.lLiftSynchronousInterlock.lClientA.lThresholdNegative,N/A,nonexistent
gSystem.lLiftSynchronousInterlock.lClientB.lThresholdPositive,N/A,nonexistent
gSystem.lLiftSynchronousInterlock.lClientB.lThresholdNegative,N/A,nonexistent
gSystem.lLiftSynchronousInterlock.lTransform.lInnerRegion,N/A,nonexistent
