trace_name,runtime_name,status
gSystem.lLift.lInput.lValue,System/Lift/Input,phase5_resolved
gSystem.lLift.lInputProcessed,N/A,nonexistent
gSystem.lLift.lThrottleValue,System/Lift/Throttle,phase5_resolved
gSystem.lLift.lDiagnostic,N/A,confirmed_nonexistent
gSystem.lLift.lInterlock.lInterlockState.lValue,N/A,nonexistent
gSystem.lLift.lInterlock.lThresholdNegative.lValue,N/A,nonexistent
gSystem.lLift.lInterlock.lThresholdPositive.lValue,N/A,nonexistent
gSystem.lLift.lInterlock.lScalingNegative.lValue,N/A,nonexistent
gSystem.lLift.lInterlock.lScalingPositive.lValue,N/A,nonexistent
gSystem.lLift.lChargeInterlock.lQualifier.lValue,N/A,nonexistent
gSystem.lLift.lChargeInterlock.lScalingCharge.lValue,N/A,nonexistent
gSystem.lLift.lChargeInterlock.lScalingDischarge.lValue,N/A,nonexistent
gSystem.lLift.lChargeInterlock.lThresholdCharge.lValue,N/A,nonexistent
gSystem.lLift.lChargeInterlock.lThresholdDischarge.lValue,N/A,nonexistent
gSystem.lCANOpenMasterDrive.lWinchA.lAlarmControllerTemperatureCutback.lThresholdCharge,System/CANBusDrive/cWinchA/AlarmControllerTemperatureCutback/ThresholdCharge,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchA.lAlarmControllerTemperatureCutback.lThresholdDischarge,System/CANBusDrive/cWinchA/AlarmControllerTemperatureCutback/ThresholdDischarge,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchB.lAlarmControllerTemperatureCutback.lThresholdCharge,System/CANBusDrive/cWinchB/AlarmControllerTemperatureCutback/ThresholdCharge,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchB.lAlarmControllerTemperatureCutback.lThresholdDischarge,System/CANBusDrive/cWinchB/AlarmControllerTemperatureCutback/ThresholdDischarge,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchC.lAlarmControllerTemperatureCutback.lThresholdCharge,System/CANBusDrive/cWinchC/AlarmControllerTemperatureCutback/ThresholdCharge,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchC.lAlarmControllerTemperatureCutback.lThresholdDischarge,System/CANBusDrive/cWinchC/AlarmControllerTemperatureCutback/ThresholdDischarge,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchD.lAlarmControllerTemperatureCutback.lThresholdCharge,System/CANBusDrive/cWinchD/AlarmControllerTemperatureCutback/ThresholdCharge,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchD.lAlarmControllerTemperatureCutback.lThresholdDischarge,System/CANBusDrive/cWinchD/AlarmControllerTemperatureCutback/ThresholdDischarge,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchA.lAlarmMotorTemperatureCutback.lThresholdCharge,System/CANBusDrive/cWinchA/AlarmMotorTemperatureCutback/ThresholdCharge,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchA.lAlarmMotorTemperatureCutback.lThresholdDischarge,System/CANBusDrive/cWinchA/AlarmMotorTemperatureCutback/ThresholdDischarge,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchB.lAlarmMotorTemperatureCutback.lThresholdCharge,System/CANBusDrive/cWinchB/AlarmMotorTemperatureCutback/ThresholdCharge,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchB.lAlarmMotorTemperatureCutback.lThresholdDischarge,System/CANBusDrive/cWinchB/AlarmMotorTemperatureCutback/ThresholdDischarge,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchC.lAlarmMotorTemperatureCutback.lThresholdCharge,System/CANBusDrive/cWinchC/AlarmMotorTemperatureCutback/ThresholdCharge,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchC.lAlarmMotorTemperatureCutback.lThresholdDischarge,System/CANBusDrive/cWinchC/AlarmMotorTemperatureCutback/ThresholdDischarge,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchD.lAlarmMotorTemperatureCutback.lThresholdCharge,System/CANBusDrive/cWinchD/AlarmMotorTemperatureCutback/ThresholdCharge,remapped_abbrev
gSystem.lCANOpenMasterDrive.lWinchD.lAlarmMotorTemperatureCutback.lThresholdDischarge,System/CANBusDrive/cWinchD/AlarmMotorTemperatureCutback/ThresholdDischarge,remapped_abbrev
