trace_name,runtime_name,status
gSystem.lCANOpenMasterDrive.lSpreader.lTelescopingActive.lValue,System/CANBusDrive/cSpreader/TelscpActive,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lTelescopingEnabled.lValue,System/CANBusDrive/cSpreader/TelscpEnbl,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lTelescopingAutoCommand.lValue,System/CANBusDrive/cSpreader/TelscpAuto,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lTelescopingEnableCommand.lValue,System/CANBusDrive/cSpreader/TelscpEnbl,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lTelescopingExtendAutoCommand.lValue,System/CANBusDrive/cSpreader/TelscpAutoExt,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lTelescopingExtendCommand.lValue,System/CANBusDrive/cSpreader/TelscpExtend,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lTelescopingRetractAutoCommand.lValue,System/CANBusDrive/cSpreader/TelscpAutoRet,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lTelescopingRetractCommand.lValue,System/CANBusDrive/cSpreader/TelscpRetract,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lTwistlocksLockCommand.lValue,System/CANBusDrive/cSpreader/TwstLock,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lTwistlocksUnlockCommand.lValue,System/CANBusDrive/cSpreader/TwstUnlock,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lBrakeDisengageCommand.lValue,System/CANBusDrive/cSpreader/BrakeDisengage,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lBrakeDisengaged.lValue,System/CANBusDrive/cSpreader/BrakeDisengage,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lHydraulicPressure.lValue,System/CANBusDrive/cSpreader/HydPressure,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lHydraulicTemperature.lValue,System/CANBusDrive/cSpreader/HydTemp,remapped_abbrev
