trace_name,runtime_name,status
gSystem.lBMS.lCurrent,System/BMSAB/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lProposedThrottle,System/CANBusDrive/cTransA/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lProposedThrottle,System/CANBusDrive/cTransB/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lProposedThrottle,System/CANBusDrive/cTransC/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lProposedThrottle,System/CANBusDrive/cTransD/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lCurrent.lValue,System/CANBusDrive/cTransA/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lCurrent.lValue,System/CANBusDrive/cTransB/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lCurrent.lValue,System/CANBusDrive/cTransC/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lCurrent.lValue,System/CANBusDrive/cTransD/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lVelocity.lValue,System/CANBusDrive/cTransA/Velocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lVelocity.lValue,System/CANBusDrive/cTransB/Velocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lVelocity.lValue,System/CANBusDrive/cTransC/Velocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lVelocity.lValue,System/CANBusDrive/cTransD/Velocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lControllerTemperature.lValue,System/CANBusDrive/cTransA/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lControllerTemperature.lValue,System/CANBusDrive/cTransB/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lControllerTemperature.lValue,System/CANBusDrive/cTransC/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lControllerTemperature.lValue,System/CANBusDrive/cTransD/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lMotorTemperature.lValue,System/CANBusDrive/cTransA/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lMotorTemperature.lValue,System/CANBusDrive/cTransB/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lMotorTemperature.lValue,System/CANBusDrive/cTransC/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lMotorTemperature.lValue,System/CANBusDrive/cTransD/MotorTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lBrakeDisengageCommand.lValue,System/CANBusDrive/cSpreader/BrakeDisengage,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lBrakeDisengaged.lValue,System/CANBusDrive/cSpreader/BrakeDisengage,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lHydraulicPressure.lValue,System/CANBusDrive/cSpreader/HydPressure,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lBatteryCurrent.lValue,System/CANBusDrive/cTransA/BattCurrent,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lBatteryCurrent.lValue,System/CANBusDrive/cTransB/BattCurrent,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lBatteryCurrent.lValue,System/CANBusDrive/cTransC/BattCurrent,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lBatteryCurrent.lValue,System/CANBusDrive/cTransD/BattCurrent,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lBatteryVoltage.lValue,System/CANBusDrive/cTransA/BattVoltage,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lBatteryVoltage.lValue,System/CANBusDrive/cTransB/BattVoltage,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lBatteryVoltage.lValue,System/CANBusDrive/cTransC/BattVoltage,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lBatteryVoltage.lValue,System/CANBusDrive/cTransD/BattVoltage,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lBatteryPower.lValue,System/CANBusDrive/cTransA/BattPower,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lBatteryPower.lValue,System/CANBusDrive/cTransB/BattPower,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lBatteryPower.lValue,System/CANBusDrive/cTransC/BattPower,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lBatteryPower.lValue,System/CANBusDrive/cTransD/BattPower,remapped_abbrev
