trace_name,runtime_name,status
gSystem.lCANOpenMasterDrive.lSpreader.lTwistlocksEnabled.lValue,System/CANBusDrive/cSpreader/TwstEnbl,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lTwistlocksActive.lValue,System/CANBusDrive/cSpreader/TwstActive,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lTwistlockACurrentState.lValue,System/CANBusDrive/cSpreader/TwstAStt,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lTwistlockBCurrentState.lValue,System/CANBusDrive/cSpreader/TwstBStt,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lTwistlockCCurrentState.lValue,System/CANBusDrive/cSpreader/TwstCStt,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lTwistlockDCurrentState.lValue,System/CANBusDrive/cSpreader/TwstDStt,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lTwistlocksCurrentState.lValue,System/CANBusDrive/cSpreader/TwstStt,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lTwistlockALoweredState.lValue,System/CANBusDrive/cSpreader/TwstALow,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lTwistlockBLoweredState.lValue,System/CANBusDrive/cSpreader/TwstBLow,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lTwistlockCLoweredState.lValue,System/CANBusDrive/cSpreader/TwstCLow,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lTwistlockDLoweredState.lValue,System/CANBusDrive/cSpreader/TwstDLow,remapped_abbrev
