trace_name,runtime_name,status
gSystem.lSteering.lInput.lValue,System/Steer/Input,remapped_abbrev
gSystem.lSteering.lZeroTargetAngleSwitch.lValue,System/Steer/ZeroTargetAngleSwitch,remapped_abbrev
gSystem.lSteering.lRequestedAbsoluteTargetAngle,System/Steer/RequestedAbsoluteTargetAngle,remapped_abbrev
gSystem.lSteering.lTargetAngleShift,System/Steer/TargetAngleShift,remapped_abbrev
gSystem.lSteering.lTargetAngleUpdateTimer.lExpired,System/Steer/TargetAngleUpdateTimer/Expired,remapped_abbrev
gSystem.lSteering.lTargetAngle.lValue,System/Steer/TargetAngle,remapped_abbrev
gSystem.lSteering.lTargetAngleIncrement,System/Steer/TargetAngleIncrement,remapped_abbrev
gSystem.lSteering.lTargetAngleIncrementDerived,System/Steer/TargetAngleIncrementDerived,remapped_abbrev
gSystem.lSteering.lTargetAngleIncrementDerivedPost,System/Steer/TargetAngleIncrementDerivedPost,remapped_abbrev
gSystem.lSteering.lAdjustState,System/Steer/AdjustState,remapped_abbrev
gSystem.lSteering.lCurrentAbsDelta,System/Steer/CurrentAbsDelta,remapped_abbrev
gSystem.lSteering.lWheelA.lFilteredDelta,System/Steer/WheelA/FilteredDelta,remapped_abbrev
gSystem.lSteering.lWheelB.lFilteredDelta,System/Steer/WheelB/FilteredDelta,remapped_abbrev
gSystem.lSteering.lWheelC.lFilteredDelta,System/Steer/WheelC/FilteredDelta,remapped_abbrev
gSystem.lSteering.lWheelD.lFilteredDelta,System/Steer/WheelD/FilteredDelta,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerAngleA.lAngle.lValue,System/CANBusDrive/cSteerAngleA/Angle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerAngleB.lAngle.lValue,System/CANBusDrive/cSteerAngleB/Angle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerAngleC.lAngle.lValue,System/CANBusDrive/cSteerAngleC/Angle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerAngleD.lAngle.lValue,System/CANBusDrive/cSteerAngleD/Angle,remapped_abbrev
gSystem.lSteering.lWheelA.lState,System/Steer/WheelA/State,remapped_abbrev
gSystem.lSteering.lWheelB.lState,System/Steer/WheelB/State,remapped_abbrev
gSystem.lSteering.lWheelC.lState,System/Steer/WheelC/State,remapped_abbrev
gSystem.lSteering.lWheelD.lState,System/Steer/WheelD/State,remapped_abbrev
gSystem.lSteering.lSteerModeDiagnostic,System/Steer/SteerModeDiagnostic,remapped_abbrev
gSystem.lSteering.lWheelA.lDiagnostic,System/Steer/WheelA/Diagnostic,remapped_abbrev
gSystem.lSteering.lWheelB.lDiagnostic,System/Steer/WheelB/Diagnostic,remapped_abbrev
gSystem.lSteering.lWheelC.lDiagnostic,System/Steer/WheelC/Diagnostic,remapped_abbrev
gSystem.lSteering.lWheelD.lDiagnostic,System/Steer/WheelD/Diagnostic,remapped_abbrev
