trace_name,runtime_name,status
gSystem.lBMS.lCurrent,System/BMSAB/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lCurrent.lValue,System/CANBusDrive/cSteerA/Current,remapped_abbrev
gSystem.lSteering.lInput.lValue,System/Steer/Input,remapped_abbrev
gSystem.lSteering.lTargetAngle.lValue,System/Steer/TargetAngle,remapped_abbrev
gSystem.lSteering.lWheelA.lTargetAngle,System/Steer/WheelA/TargetAngle,remapped_abbrev
gSystem.lSteering.lWheelA.lPreviousTargetAngle,System/Steer/WheelA/PreviousTargetAngle,remapped_abbrev
gSystem.lSteering.lWheelA.lTargetPredictionOffset,System/Steer/WheelA/TargetPredictionOffset,remapped_abbrev
gSystem.lSteering.lWheelA.lPredictedTargetAngle,System/Steer/WheelA/PredictedTargetAngle,remapped_abbrev
gSystem.lSteering.lWheelA.lTargetAngleAdjustment,System/Steer/WheelA/TargetAngleAdjustment,remapped_abbrev
gSystem.lSteering.lWheelA.lTargetAngleAdjusted,System/Steer/WheelA/TargetAngleAdjusted,remapped_abbrev
gSystem.lSteering.lWheelA.lDelta,System/Steer/WheelA/Delta,remapped_abbrev
gSystem.lSteering.lWheelA.lFilteredDelta,System/Steer/WheelA/FilteredDelta,remapped_abbrev
gSystem.lSteering.lWheelA.lDeltaConverging,System/Steer/WheelA/DeltaConverging,remapped_abbrev
gSystem.lSteering.lWheelA.lThrottleValue,System/Steer/WheelA/ThrottleValue,remapped_abbrev
gSystem.lSteering.lWheelA.lRequestedCurve.lInflexions,System/Steer/WheelA/RequestedCurve/Inflexions,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerAngleA.lAngle.lValue,System/CANBusDrive/cSteerAngleA/Angle,remapped_abbrev
gSystem.lSteering.lWheelA.lOvershoot,System/Steer/WheelA/Overshoot,remapped_abbrev
gSystem.lSteering.lWheelA.lOvershootTimer.lExpired,System/Steer/WheelA/OvershootTimer/Expired,remapped_abbrev
gSystem.lSteering.lWheelA.lCurrentVelocity,System/Steer/WheelA/CurrentVelocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lTargetSpeed.lValue,System/CANBusDrive/cSteerA/TargetSpeed,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lTargetVelocity,System/CANBusDrive/cSteerA/TargetVelocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lVelocity.lValue,System/CANBusDrive/cSteerA/Velocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lTorque.lValue,System/CANBusDrive/cSteerA/Torque,remapped_abbrev
gSystem.lSteering.lWheelA.lState,System/Steer/WheelA/State,remapped_abbrev
gSystem.lSteering.lWheelA.lDiagnostic,System/Steer/WheelA/Diagnostic,remapped_abbrev
gSystem.lSteering.lWheelA.lThrottle.lStationary,System/Steer/WheelA/Throttle/Stationary,remapped_abbrev
gSystem.lSteering.lSteerModeDiagnostic,System/Steer/SteerModeDiagnostic,remapped_abbrev
gSystem.lSteering.lWheelA.lModeChange,System/Steer/WheelA/ModeChange,remapped_abbrev
gSystem.lSteering.lWheelA.lModeChangeDisableControl,System/Steer/WheelA/ModeChangeDisableControl,remapped_abbrev
gSystem.lSteering.lMode.lMode,System/Steer/Mode/Mode,remapped_abbrev
gSystem.lSteering.lModeChange,System/Steer/ModeChange,remapped_abbrev
gSystem.lSteering.lAdjustState,System/Steer/AdjustState,remapped_abbrev
gSystem.lSteering.lWheelA.lDelta,System/Steer/WheelA/Delta,remapped_abbrev
gSystem.lSteering.lWheelA.lInput.lValue,System/Steer/WheelA/Input,remapped_abbrev
gSystem.lSteering.lWheelA.lMoving,System/Steer/WheelA/Moving,remapped_abbrev
gSystem.lSteering.lWheelA.lRequested,System/Steer/WheelA/Requested,remapped_abbrev
gSystem.lSteering.lWheelA.lRequestedCurve.lValue,System/Steer/WheelA/RequestedCurve,remapped_abbrev
gSystem.lSteering.lWheelA.lRequestedCurve.lPrevious,System/Steer/WheelA/RequestedCurve/Previous,remapped_abbrev
gSystem.lSteering.lWheelA.lRequestedCurve.lDelta,System/Steer/WheelA/RequestedCurve/Delta,remapped_abbrev
gSystem.lSteering.lWheelA.lRequestedCurve.lDeltaPrevious,System/Steer/WheelA/RequestedCurve/DeltaPrevious,remapped_abbrev
gSystem.lSteering.lWheelA.lRequestedCurve.lNonZero,System/Steer/WheelA/RequestedCurve/NonZero,remapped_abbrev
gSystem.lSteering.lWheelA.lRequestedCurve.lNonZeroPrevious,System/Steer/WheelA/RequestedCurve/NonZeroPrevious,remapped_abbrev
gSystem.lSteering.lWheelA.lMovementEventCount,System/Steer/WheelA/MovementEventCount,remapped_abbrev
gSystem.lSteering.lWheelA.lThrottle.lStalled,System/Steer/WheelA/Throttle/Stalled,remapped_abbrev
gSystem.lSteering.lWheelA.lThrottle.lCurrentVelocity,System/Steer/WheelA/Throttle/CurrentVelocity,remapped_abbrev
gSystem.lSteering.lWheelA.lThrottle.lValue,System/Steer/WheelA/Throttle,remapped_abbrev
gSystem.lSteering.lWheelA.lThrottle.lStationary,System/Steer/WheelA/Throttle/Stationary,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lControllerTemperature.lValue,System/CANBusDrive/cSteerA/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerA.lMotorTemperature.lValue,System/CANBusDrive/cSteerA/MotorTemp,remapped_abbrev
