trace_name,runtime_name,status
gSystem.lBMS.lCurrent,System/BMSAB/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerB.lCurrent.lValue,System/CANBusDrive/cSteerB/Current,remapped_abbrev
gSystem.lTravel.lInput.lValue,System/Travel/Input,phase5_resolved
gSystem.lSteering.lInput.lValue,System/Steer/Input,remapped_abbrev
gSystem.lSteering.lInputProcessed,System/Steer/InputProcessed,remapped_abbrev
gSystem.lSteering.lInputPresentAny,System/Steer/InputPresentAny,remapped_abbrev
gSystem.lTravel.lInputPresentAny,N/A,nonexistent
gSystem.lSteering.lTargetAngleIncrement,System/Steer/TargetAngleIncrement,remapped_abbrev
gSystem.lSteering.lTargetAngle.lValue,System/Steer/TargetAngle,remapped_abbrev
gSystem.lSteering.lWheelB.lTargetAngle,System/Steer/WheelB/TargetAngle,remapped_abbrev
gSystem.lSteering.lWheelB.lPreviousTargetAngle,System/Steer/WheelB/PreviousTargetAngle,remapped_abbrev
gSystem.lSteering.lWheelB.lTargetPredictionOffset,System/Steer/WheelB/TargetPredictionOffset,remapped_abbrev
gSystem.lSteering.lWheelB.lPredictedTargetAngle,System/Steer/WheelB/PredictedTargetAngle,remapped_abbrev
gSystem.lSteering.lWheelB.lTargetAngleAdjustment,System/Steer/WheelB/TargetAngleAdjustment,remapped_abbrev
gSystem.lSteering.lWheelB.lTargetAngleAdjusted,System/Steer/WheelB/TargetAngleAdjusted,remapped_abbrev
gSystem.lSteering.lWheelB.lDelta,System/Steer/WheelB/Delta,remapped_abbrev
gSystem.lSteering.lWheelB.lFilteredDelta,System/Steer/WheelB/FilteredDelta,remapped_abbrev
gSystem.lSteering.lWheelB.lDeltaConverging,System/Steer/WheelB/DeltaConverging,remapped_abbrev
gSystem.lSteering.lWheelB.lThrottleValue,System/Steer/WheelB/ThrottleValue,remapped_abbrev
gSystem.lSteering.lWheelB.lRequestedCurve.lInflexions,System/Steer/WheelB/RequestedCurve/Inflexions,remapped_abbrev
gSystem.lSteering.lAdjustState,System/Steer/AdjustState,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerAngleB.lAngle.lValue,System/CANBusDrive/cSteerAngleB/Angle,remapped_abbrev
gSystem.lSteering.lWheelB.lOvershoot,System/Steer/WheelB/Overshoot,remapped_abbrev
gSystem.lSteering.lWheelB.lOvershootTimer.lExpired,System/Steer/WheelB/OvershootTimer/Expired,remapped_abbrev
gSystem.lSteering.lWheelB.lCurrentVelocity,System/Steer/WheelB/CurrentVelocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerB.lTargetSpeed.lValue,System/CANBusDrive/cSteerB/TargetSpeed,remapped_abbrev
