trace_name,runtime_name,status
gSystem.lBMS.lCurrent,System/BMSAB/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lCurrent.lValue,System/CANBusDrive/cSteerD/Current,remapped_abbrev
gSystem.lSteering.lInput.lValue,System/Steer/Input,remapped_abbrev
gSystem.lSteering.lTargetAngle.lValue,System/Steer/TargetAngle,remapped_abbrev
gSystem.lSteering.lWheelD.lTargetAngle,System/Steer/WheelD/TargetAngle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerAngleD.lAngle.lValue,System/CANBusDrive/cSteerAngleD/Angle,remapped_abbrev
gSystem.lSteering.lWheelD.lPreviousTargetAngle,System/Steer/WheelD/PreviousTargetAngle,remapped_abbrev
gSystem.lSteering.lWheelD.lTargetPredictionOffset,System/Steer/WheelD/TargetPredictionOffset,remapped_abbrev
gSystem.lSteering.lWheelD.lPredictedTargetAngle,System/Steer/WheelD/PredictedTargetAngle,remapped_abbrev
gSystem.lSteering.lWheelD.lTargetAngleAdjustment,System/Steer/WheelD/TargetAngleAdjustment,remapped_abbrev
gSystem.lSteering.lWheelD.lTargetAngleAdjusted,System/Steer/WheelD/TargetAngleAdjusted,remapped_abbrev
gSystem.lSteering.lWheelD.lDelta,System/Steer/WheelD/Delta,remapped_abbrev
gSystem.lSteering.lWheelD.lFilteredDelta,System/Steer/WheelD/FilteredDelta,remapped_abbrev
gSystem.lSteering.lWheelD.lDeltaConverging,System/Steer/WheelD/DeltaConverging,remapped_abbrev
gSystem.lSteering.lWheelD.lThrottleValue,System/Steer/WheelD/ThrottleValue,remapped_abbrev
gSystem.lSteering.lWheelD.lRequestedCurve.lInflexions,System/Steer/WheelD/RequestedCurve/Inflexions,remapped_abbrev
gSystem.lSteering.lWheelD.lOvershoot,System/Steer/WheelD/Overshoot,remapped_abbrev
gSystem.lSteering.lWheelD.lOvershootTimer.lExpired,System/Steer/WheelD/OvershootTimer/Expired,remapped_abbrev
gSystem.lSteering.lWheelD.lCurrentVelocity,System/Steer/WheelD/CurrentVelocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lTargetSpeed.lValue,System/CANBusDrive/cSteerD/TargetSpeed,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lTargetVelocity,System/CANBusDrive/cSteerD/TargetVelocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lVelocity.lValue,System/CANBusDrive/cSteerD/Velocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lTorque.lValue,System/CANBusDrive/cSteerD/Torque,remapped_abbrev
gSystem.lSteering.lWheelD.lState,System/Steer/WheelD/State,remapped_abbrev
gSystem.lSteering.lWheelD.lDiagnostic,System/Steer/WheelD/Diagnostic,remapped_abbrev
gSystem.lSteering.lWheelD.lThrottle.lStationary,System/Steer/WheelD/Throttle/Stationary,remapped_abbrev
gSystem.lSteering.lWheelD.lModeChange,System/Steer/WheelD/ModeChange,remapped_abbrev
gSystem.lSteering.lWheelD.lModeChangeDisableControl,System/Steer/WheelD/ModeChangeDisableControl,remapped_abbrev
gSystem.lSteering.lMode.lMode,System/Steer/Mode/Mode,remapped_abbrev
gSystem.lSteering.lModeChange,System/Steer/ModeChange,remapped_abbrev
gSystem.lSteering.lAdjustState,System/Steer/AdjustState,remapped_abbrev
gSystem.lSteering.lWheelD.lDelta,System/Steer/WheelD/Delta,remapped_abbrev
gSystem.lSteering.lWheelD.lInput.lValue,System/Steer/WheelD/Input,remapped_abbrev
gSystem.lSteering.lWheelD.lMoving,System/Steer/WheelD/Moving,remapped_abbrev
gSystem.lSteering.lWheelD.lRequested,System/Steer/WheelD/Requested,remapped_abbrev
gSystem.lSteering.lWheelD.lRequestedCurve.lValue,System/Steer/WheelD/RequestedCurve,remapped_abbrev
gSystem.lSteering.lWheelD.lRequestedCurve.lPrevious,System/Steer/WheelD/RequestedCurve/Previous,remapped_abbrev
gSystem.lSteering.lWheelD.lRequestedCurve.lDelta,System/Steer/WheelD/RequestedCurve/Delta,remapped_abbrev
gSystem.lSteering.lWheelD.lRequestedCurve.lDeltaPrevious,System/Steer/WheelD/RequestedCurve/DeltaPrevious,remapped_abbrev
gSystem.lSteering.lWheelD.lRequestedCurve.lNonZero,System/Steer/WheelD/RequestedCurve/NonZero,remapped_abbrev
gSystem.lSteering.lWheelD.lRequestedCurve.lNonZeroPrevious,System/Steer/WheelD/RequestedCurve/NonZeroPrevious,remapped_abbrev
gSystem.lSteering.lWheelD.lMovementEventCount,System/Steer/WheelD/MovementEventCount,remapped_abbrev
gSystem.lSteering.lWheelD.lThrottle.lStalled,System/Steer/WheelD/Throttle/Stalled,remapped_abbrev
gSystem.lSteering.lWheelD.lThrottle.lCurrentVelocity,System/Steer/WheelD/Throttle/CurrentVelocity,remapped_abbrev
gSystem.lSteering.lWheelD.lThrottle.lValue,System/Steer/WheelD/Throttle,remapped_abbrev
gSystem.lSteering.lWheelD.lThrottle.lStationary,System/Steer/WheelD/Throttle/Stationary,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lControllerTemperature.lValue,System/CANBusDrive/cSteerD/CntrlTemp,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSteerD.lMotorTemperature.lValue,System/CANBusDrive/cSteerD/MotorTemp,remapped_abbrev
