trace_name,runtime_name,status
gSystem.lSystemState.lState.lValue,System/SystemState/State,exact_match
gSystem.lBMS.lAvailability,System/BMSAB/Availability,remapped_abbrev
gSystem.lBMS.lCurrentState,System/BMSAB/CurrentState,remapped_abbrev
gSystem.lCANOpenMasterSystem.lBMSA.lCurrentBMSState.lValue,System/CANBusSystem/BMSA/CurrentBMSState,exact_match
gSystem.lCANOpenMasterSystem.lBMSB.lCurrentBMSState.lValue,System/CANBusSystem/BMSB/CurrentBMSState,exact_match
gSystem.lTMS.lRequestedState.lValue,System/TMS/ReqState,phase5_resolved
gSystem.lTMS.lCurrentState.lValue,System/TMS/CurrState,phase5_resolved
gSystem.lTMS.lCoolantReservoir.lValue,System/TMS/ClntReservoir,phase5_resolved
gSystem.lTMS.lCoolantChilling.lValue,System/TMS/ClntChilling,phase5_resolved
gSystem.lTMS.lCoolantHeating.lValue,System/TMS/ClntHeating,phase5_resolved
gSystem.lTMS.lCoolantPump.lValue,System/TMS/Pump,phase5_resolved
gSystem.lTMS.lCurrentCoolantTemperature.lValue,System/TMS/ClntTemp,phase5_resolved
gSystem.lTMS.lRequestedCoolantTemperature,N/A,nonexistent
gSystem.lCANOpenMasterSystem.lBMSA.lPackAverageTemperature.lValue,System/CANBusSystem/BMSA/PackAverageTemperature,exact_match
gSystem.lCANOpenMasterSystem.lBMSA.lPackMaxTemperature.lValue,System/CANBusSystem/BMSA/PackMaxTemperature,exact_match
gSystem.lCANOpenMasterSystem.lBMSA.lPackMinTemperature.lValue,System/CANBusSystem/BMSA/PackMinTemperature,exact_match
gSystem.lCANOpenMasterSystem.lBMSB.lPackAverageTemperature.lValue,System/CANBusSystem/BMSB/PackAverageTemperature,exact_match
gSystem.lCANOpenMasterSystem.lBMSB.lPackMaxTemperature.lValue,System/CANBusSystem/BMSB/PackMaxTemperature,exact_match
gSystem.lCANOpenMasterSystem.lBMSB.lPackMinTemperature.lValue,System/CANBusSystem/BMSB/PackMinTemperature,exact_match
