trace_name,runtime_name,status
gSystem.lTravel.lInput.lValue,System/Travel/Input,phase5_resolved
gSystem.lTravel.lEnableInputSecondary,System/Travel/EnableInputSecondary,phase5_resolved
gSystem.lTravel.lInputSecondary.lValue,System/Travel/InputSecondary,phase5_resolved
gSystem.lTravel.lInputPresentSecondary,System/Travel/InputPresentSecondary,phase5_resolved
gSystem.lTravel.lInputResolved,System/Travel/InputResolved,phase5_resolved
gSystem.lTravel.lInputNulled,N/A,nonexistent
gSystem.lTravel.lInputProcessed,N/A,nonexistent
gSystem.lTravel.lCurrentFunctionSlowFactor,N/A,nonexistent
gSystem.lTravel.lCurrentOperatingModeSlowFactor,N/A,nonexistent
gSystem.lTravel.lCurrentUInterfaceSlowFactor,N/A,nonexistent
gSystem.lSteering.lTargetAngle.lValue,System/Steer/TargetAngle,remapped_abbrev
gSystem.lTravel.lInputScaling,System/Travel/InputScaling,phase5_resolved
gSystem.lTravel.lScalingA,N/A,nonexistent
gSystem.lTravel.lScalingB,N/A,nonexistent
gSystem.lTravel.lScalingC,N/A,nonexistent
gSystem.lTravel.lScalingD,N/A,nonexistent
gSystem.lCANOpenMasterDrive.lTransA.lProposedThrottle,System/CANBusDrive/cTransA/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lProposedThrottle,System/CANBusDrive/cTransB/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lProposedThrottle,System/CANBusDrive/cTransC/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lProposedThrottle,System/CANBusDrive/cTransD/ProposedThrottle,remapped_abbrev
gSystem.lTravel.lDiagnostic,N/A,confirmed_nonexistent
gSystem.lTravel.lMovementA.lDiagnostic,N/A,nonexistent
gSystem.lTravel.lMovementB.lDiagnostic,N/A,nonexistent
gSystem.lTravel.lMovementC.lDiagnostic,N/A,nonexistent
gSystem.lTravel.lMovementD.LDiagnostic,N/A,confirmed_nonexistent
gSystem.lTravel.lMovementA.lInput.lValue,System/Travel/mMovementA/Input,phase5_resolved
gSystem.lTravel.lMovementB.lInput.lValue,System/Travel/mMovementB/Input,phase5_resolved
gSystem.lTravel.lMovementC.lInput.lValue,System/Travel/mMovementC/Input,phase5_resolved
gSystem.lTravel.lMovementD.lInput.lValue,System/Travel/mMovementD/Input,phase5_resolved
gSystem.lTravel.lMovementA.lInputDeadBand,N/A,nonexistent
gSystem.lTravel.lMovementB.lInputDeadBand,N/A,nonexistent
gSystem.lTravel.lMovementC.lInputDeadBand,N/A,nonexistent
gSystem.lTravel.lMovementD.lInputDeadBand,N/A,nonexistent
