trace_name,runtime_name,status
gSystem.lTravel.lInput.lValue,System/Travel/Input,phase5_resolved
gSystem.lTravel.lActive,N/A,nonexistent
gSystem.lCANOpenMasterDrive.lSpreader.lBrakeDisengageCommand.lValue,System/CANBusDrive/cSpreader/BrakeDisengage,remapped_abbrev
gSystem.lCANOpenMasterDrive.TransA.lDiagnostic,System/CANBusDrive/cTransA/Diagnostic,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lFreeWheel,System/CANBusDrive/cTransA/FreeWheel,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lInitializeMotorHoldCounter,System/CANBusDrive/cTransA/InitializeMotorHoldCounter,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lTargetVelocity,System/CANBusDrive/cTransA/TargetVelocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lVelocity.lValue,System/CANBusDrive/cTransA/Velocity,remapped_abbrev
gSystem.lCANOpenMasterDrive.TransA.lCurrent.lValue,System/CANBusDrive/cTransA/Current,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lEnable.lValue,System/CANBusDrive/cTransA/Enable,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lForward.lValue,System/CANBusDrive/cTransA/Forward,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lReverse.lValue,System/CANBusDrive/cTransA/Reverse,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lProposedThrottle,System/CANBusDrive/cTransA/ProposedThrottle,remapped_abbrev
