trace_name,runtime_name,status
gSystem.lTravel.lInput.lValue,System/Travel/Input,phase5_resolved
gSystem.lCANOpenMasterDrive.lTransA.lProposedThrottle,System/CANBusDrive/cTransA/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lProposedThrottle,System/CANBusDrive/cTransB/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lProposedThrottle,System/CANBusDrive/cTransC/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lProposedThrottle,System/CANBusDrive/cTransD/ProposedThrottle,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lBrakeDisengaged.lValue,System/CANBusDrive/cSpreader/BrakeDisengage,remapped_abbrev
gSystem.lCANOpenMasterDrive.lSpreader.lBrakeDisengageCommand.lValue,System/CANBusDrive/cSpreader/BrakeDisengage,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lEnable.lValue,System/CANBusDrive/cTransA/Enable,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lEnable.lValue,System/CANBusDrive/cTransB/Enable,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lEnable.lValue,System/CANBusDrive/cTransC/Enable,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lEnable.lValue,System/CANBusDrive/cTransD/Enable,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransA.lFreeWheel,System/CANBusDrive/cTransA/FreeWheel,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransB.lFreeWheel,System/CANBusDrive/cTransB/FreeWheel,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransC.lFreeWheel,System/CANBusDrive/cTransC/FreeWheel,remapped_abbrev
gSystem.lCANOpenMasterDrive.lTransD.lFreeWheel,System/CANBusDrive/cTransD/FreeWheel,remapped_abbrev
